vendor_1,vendor_2,together_tender_count,together_percentage
V002,V021,10,16.7
V001,V013,10,25.0
V026,V045,10,18.5
V032,V044,10,17.2
V001,V022,10,16.7
V001,V031,10,17.2
V001,V035,10,15.9
V025,V049,10,20.4
V036,V049,10,20.4
V003,V017,10,14.9
V021,V036,10,15.4
V006,V008,10,18.5
V006,V043,10,19.6
V002,V005,10,17.2
V034,V047,10,18.9
V004,V018,10,26.3
V018,V022,10,16.7
V030,V036,10,15.4
V006,V026,10,17.5
V030,V033,10,16.9
V021,V034,10,18.9
V007,V018,10,16.4
V019,V030,10,16.1
V006,V039,10,17.5
V021,V026,10,14.9
V017,V044,10,17.2
V017,V049,10,20.4
V006,V009,10,17.5
V036,V048,10,15.4
V044,V046,10,18.2
V018,V048,10,16.4
V040,V047,10,16.9
V003,V018,10,16.4
V006,V011,10,17.5
V025,V047,10,16.4
V005,V049,10,20.4
V011,V042,10,15.9
V003,V030,10,14.9
V011,V024,10,16.9
V011,V034,10,18.9
V017,V039,10,14.3
V031,V042,10,17.2
V020,V029,10,19.6
V009,V037,10,17.2
V026,V029,10,19.6
V009,V010,10,17.2
V001,V029,10,19.6
V007,V020,10,15.6
V011,V022,10,16.7
V025,V037,10,16.7
V037,V048,10,16.7
V021,V032,10,17.2
V009,V020,10,17.2
V025,V030,10,15.4
V012,V042,10,18.9
V017,V046,10,18.2
V019,V050,9,15.8
V019,V022,9,15.0
V042,V050,9,15.8
V026,V046,9,16.4
V038,V048,9,17.0
V001,V024,9,15.3
V005,V009,9,15.5
V009,V016,9,15.5
V017,V019,9,14.5
V001,V012,9,17.0
V011,V012,9,17.0
V011,V048,9,13.4
V012,V048,9,17.0
V027,V048,9,15.3
V002,V040,9,15.3
V003,V040,9,15.3
V027,V041,9,17.0
V005,V026,9,15.5
V005,V046,9,16.4
V026,V038,9,17.0
V041,V046,9,17.0
V001,V036,9,13.8
V027,V036,9,15.3
V010,V041,9,17.0
V032,V041,9,17.0
V001,V018,9,14.8
V001,V033,9,15.3
V002,V033,9,15.3
V018,V026,9,14.8
V026,V033,9,15.3
V020,V036,9,13.8
V031,V035,9,15.5
V001,V028,9,16.7
V017,V028,9,16.7
V020,V028,9,16.7
V030,V043,9,17.6
V001,V050,9,15.8
V007,V033,9,15.3
V024,V050,9,15.8
V031,V044,9,15.5
V021,V030,9,13.2
V010,V050,9,15.8
V021,V029,9,17.6
V021,V050,9,15.8
V029,V046,9,17.6
V001,V042,9,14.3
V001,V039,9,12.9
V008,V016,9,16.7
V016,V028,9,16.7
V016,V039,9,14.3
V019,V047,9,14.8
V039,V047,9,14.8
V003,V005,9,15.5
V024,V030,9,15.3
V017,V027,9,15.3
V010,V024,9,15.3
V039,V049,9,18.4
V018,V040,9,15.3
V007,V022,9,15.0
V030,V034,9,17.0
V034,V042,9,17.0
V035,V042,9,14.3
V016,V044,9,15.5
V029,V039,9,17.6
V021,V039,9,13.0
V031,V048,9,15.5
V022,V044,9,15.5
V042,V044,9,15.5
V042,V049,9,18.4
V009,V025,9,15.5
V046,V047,9,16.4
V007,V017,9,14.1
V001,V030,9,13.2
V019,V026,9,14.5
V006,V018,9,15.8
V015,V018,9,19.1
V003,V010,9,15.0
V016,V021,9,14.3
V016,V038,9,17.0
V003,V011,9,13.4
V005,V047,9,15.5
V011,V032,9,15.5
V024,V034,9,17.0
V015,V020,9,19.1
V017,V048,9,12.7
V035,V039,9,14.3
V008,V040,9,16.7
V040,V048,9,15.3
V009,V031,9,15.5
V022,V039,9,15.0
V036,V039,9,13.8
V011,V017,9,13.4
V012,V017,9,17.0
V020,V031,9,15.5
V008,V046,9,16.7
V012,V032,9,17.0
V009,V026,9,15.5
V009,V029,9,17.6
V018,V035,9,14.8
V048,V050,9,15.8
V027,V030,9,15.3
V022,V037,9,15.0
V022,V040,9,15.3
V007,V021,9,14.1
V005,V018,9,15.5
V008,V029,9,17.6
V028,V048,9,16.7
V035,V043,9,17.6
V011,V035,9,14.3
V002,V039,9,15.0
V005,V039,9,15.5
V009,V014,9,18.4
V010,V035,9,15.0
V003,V039,9,13.4
V009,V034,9,17.0
V039,V040,9,15.3
V035,V040,9,15.3
V011,V049,8,16.3
V014,V046,8,16.3
V008,V042,8,14.8
V008,V050,8,14.8
V019,V042,8,12.9
V029,V035,8,15.7
V004,V048,8,21.1
V021,V035,8,12.7
V005,V017,8,13.8
V009,V017,8,13.8
V016,V017,8,12.7
V016,V019,8,12.9
V017,V023,8,16.3
V012,V016,8,15.1
V003,V021,8,11.9
V003,V041,8,15.1
V001,V014,8,16.3
V001,V046,8,14.5
V003,V046,8,14.5
V027,V032,8,13.8
V032,V034,8,15.1
V032,V036,8,13.8
V004,V032,8,21.1
V005,V010,8,13.8
V033,V045,8,14.8
V001,V049,8,16.3
V022,V025,8,13.3
V022,V031,8,13.8
V025,V036,8,12.3
V035,V036,8,12.7
V002,V028,8,14.8
V003,V020,8,11.9
V017,V020,8,11.8
V033,V038,8,15.1
V031,V043,8,15.7
V020,V021,8,11.8
V028,V037,8,14.8
V021,V031,8,13.8
V002,V042,8,13.3
V043,V045,8,15.7
V002,V035,8,13.3
V020,V035,8,12.7
V008,V020,8,14.8
V008,V034,8,15.1
V003,V042,8,12.7
V016,V045,8,14.8
V024,V045,8,14.8
V026,V036,8,12.3
V037,V040,8,13.6
V006,V033,8,14.0
V010,V039,8,13.3
V013,V039,8,20.0
V024,V039,8,13.6
V033,V039,8,13.6
V039,V045,8,14.8
V007,V045,8,14.8
V009,V036,8,13.8
V007,V019,8,12.9
V022,V032,8,13.8
V030,V032,8,13.8
V030,V042,8,12.7
V006,V044,8,14.0
V014,V039,8,16.3
V039,V043,8,15.7
V017,V042,8,12.7
V026,V037,8,13.3
V006,V025,8,14.0
V025,V045,8,14.8
V025,V048,8,12.3
V016,V025,8,12.7
V019,V036,8,12.9
V015,V017,8,17.0
V012,V036,8,15.1
V020,V040,8,13.6
V038,V044,8,15.1
V040,V044,8,13.8
V010,V047,8,13.3
V006,V015,8,17.0
V017,V021,8,11.6
V018,V020,8,13.1
V039,V042,8,12.7
V017,V035,8,12.7
V008,V032,8,14.8
V009,V027,8,13.8
V018,V021,8,13.1
V007,V027,8,13.6
V022,V026,8,13.3
V022,V045,8,14.8
V042,V048,8,12.7
V023,V032,8,16.3
V014,V025,8,16.3
V012,V041,8,15.1
V012,V033,8,15.1
V005,V022,8,13.8
V022,V048,8,13.3
V012,V029,8,15.7
V005,V007,8,13.8
V020,V024,8,13.6
V003,V048,8,11.9
V025,V041,8,15.1
V042,V047,8,13.1
V010,V038,8,15.1
V018,V043,8,15.7
V024,V025,8,13.6
V009,V033,8,13.8
V009,V039,8,13.8
V011,V019,8,12.9
V008,V012,8,15.1
V028,V036,8,14.8
V002,V022,8,13.3
V014,V033,8,16.3
V009,V021,8,13.8
V033,V040,8,13.6
V030,V040,8,13.6
V039,V046,8,14.5
V010,V020,8,13.3
V011,V025,8,12.3
V018,V034,8,15.1
V023,V046,8,16.3
V035,V041,8,15.1
V035,V050,8,14.0
V003,V033,8,13.6
V007,V012,8,15.1
V011,V039,8,11.9
V003,V026,8,11.9
V003,V025,8,12.3
V015,V019,7,14.9
V014,V021,7,14.3
V021,V042,7,11.1
V008,V019,7,13.0
V019,V028,7,13.0
V020,V026,7,10.4
V026,V043,7,13.7
V016,V035,7,11.1
V021,V038,7,13.2
V001,V005,7,12.1
V001,V023,7,14.3
V016,V024,7,11.9
V019,V023,7,14.3
V002,V011,7,11.7
V011,V027,7,11.9
V012,V027,7,13.2
V021,V040,7,11.9
V021,V043,7,13.7
V003,V027,7,11.9
V013,V027,7,17.5
V004,V025,7,18.4
V017,V025,7,10.8
V005,V013,7,17.5
V005,V045,7,13.0
V013,V045,7,17.5
V026,V041,7,13.2
V013,V036,7,17.5
V016,V034,7,13.2
V004,V041,7,18.4
V005,V037,7,12.1
V010,V037,7,11.7
V002,V018,7,11.7
V011,V020,7,10.4
V022,V049,7,14.3
V023,V035,7,14.3
V020,V045,7,13.0
V006,V014,7,14.3
V006,V030,7,12.3
V014,V043,7,14.3
V002,V007,7,11.7
V007,V024,7,11.9
V007,V038,7,13.2
V007,V050,7,12.3
V024,V033,7,11.9
V033,V050,7,12.3
V038,V050,7,13.2
V007,V015,7,14.9
V001,V047,7,11.5
V003,V047,7,11.5
V020,V047,7,11.5
V021,V028,7,13.0
V005,V031,7,12.1
V010,V029,7,13.7
V029,V050,7,13.7
V041,V050,7,13.2
V008,V039,7,13.0
V019,V020,7,11.3
V020,V034,7,13.2
V028,V047,7,13.0
V018,V042,7,11.5
V005,V042,7,12.1
V016,V042,7,11.1
V024,V042,7,11.9
V017,V026,7,10.4
V027,V038,7,13.2
V036,V038,7,13.2
V041,V042,7,13.2
V024,V026,7,11.9
V026,V039,7,10.4
V018,V036,7,11.5
V007,V042,7,11.1
V022,V030,7,11.7
V032,V042,7,12.1
V034,V035,7,13.2
V014,V016,7,14.3
V043,V044,7,13.7
V012,V035,7,13.2
V026,V035,7,11.1
V015,V033,7,14.9
V019,V033,7,11.9
V016,V031,7,12.1
V017,V032,7,12.1
V032,V049,7,14.3
V015,V030,7,14.9
V016,V026,7,11.1
V045,V048,7,13.0
V006,V019,7,12.3
V025,V027,7,11.9
V020,V038,7,13.2
V020,V044,7,12.1
V040,V046,7,12.7
V014,V023,7,14.3
V026,V048,7,10.4
V009,V013,7,17.5
V010,V014,7,14.3
V028,V033,7,13.0
V033,V041,7,13.2
V032,V033,7,12.1
V003,V015,7,14.9
V006,V046,7,12.7
V011,V044,7,12.1
V023,V044,7,14.3
V044,V050,7,12.3
V016,V050,7,12.3
V019,V045,7,13.0
V003,V044,7,12.1
V011,V015,7,14.9
V011,V029,7,13.7
V005,V036,7,12.1
V021,V025,7,10.8
V036,V047,7,11.5
V004,V024,7,18.4
V032,V048,7,12.1
V017,V018,7,11.5
V018,V028,7,13.0
V018,V039,7,11.5
V008,V048,7,13.0
V013,V048,7,17.5
V019,V048,7,11.3
V008,V027,7,13.0
V031,V045,7,13.0
V015,V022,7,14.9
V025,V042,7,11.1
V025,V044,7,12.1
V003,V022,7,11.7
V020,V032,7,12.1
V008,V044,7,13.0
V008,V021,7,13.0
V012,V022,7,13.2
V012,V037,7,13.2
V030,V048,7,10.3
V030,V050,7,12.3
V006,V024,7,12.3
V006,V037,7,12.3
V031,V037,7,12.1
V012,V013,7,17.5
V022,V047,7,11.7
V012,V020,7,13.2
V033,V035,7,11.9
V005,V033,7,12.1
V002,V029,7,13.7
V020,V022,7,11.7
V003,V008,7,13.0
V025,V032,7,12.1
V024,V044,7,12.1
V021,V049,7,14.3
V013,V020,7,17.5
V024,V047,7,11.9
V028,V031,7,13.0
V028,V035,7,13.0
V003,V004,7,18.4
V016,V040,7,11.9
V011,V047,7,11.5
V025,V039,7,10.8
V010,V025,7,11.7
V029,V047,7,13.7
V039,V050,7,12.3
V013,V017,7,17.5
V019,V029,7,13.7
V003,V031,7,12.1
V005,V027,7,12.1
V015,V043,6,12.8
V021,V046,6,10.9
V037,V046,6,10.9
V008,V022,6,11.1
V022,V050,6,10.5
V028,V042,6,11.1
V013,V016,6,15.0
V005,V019,6,10.3
V005,V024,6,10.3
V009,V024,6,10.3
V017,V024,6,10.2
V002,V016,6,10.0
V002,V048,6,10.0
V010,V011,6,10.0
V003,V043,6,11.8
V002,V041,6,11.3
V003,V013,6,15.0
V003,V037,6,10.0
V013,V041,6,15.0
V027,V037,6,10.2
V001,V032,6,10.3
V006,V016,6,10.5
V006,V027,6,10.5
V027,V034,6,11.3
V034,V036,6,11.3
V005,V032,6,10.3
V010,V044,6,10.3
V032,V037,6,10.3
V002,V045,6,11.1
V011,V036,6,9.2
V011,V046,6,10.9
V022,V035,6,10.0
V022,V036,6,10.0
V025,V035,6,9.5
V003,V028,6,11.1
V003,V045,6,11.1
V017,V045,6,11.1
V028,V045,6,11.1
V036,V040,6,10.2
V008,V030,6,11.1
V014,V030,6,12.2
V001,V038,6,11.3
V028,V030,6,11.1
V028,V046,6,11.1
V010,V031,6,10.3
V021,V041,6,11.3
V031,V050,6,10.5
V042,V045,6,11.1
V020,V039,6,8.8
V008,V023,6,12.2
V023,V042,6,12.2
V003,V016,6,9.5
V009,V042,6,10.3
V024,V036,6,10.2
V024,V037,6,10.2
V014,V027,6,12.2
V014,V040,6,12.2
V014,V041,6,12.2
V040,V041,6,11.3
V026,V030,6,9.0
V010,V013,6,15.0
V010,V026,6,10.0
V031,V034,6,11.3
V007,V009,6,10.3
V040,V045,6,11.1
V007,V030,6,9.4
V022,V034,6,11.3
V030,V035,6,9.5
V032,V035,6,10.3
V016,V043,6,11.8
V029,V044,6,11.8
V015,V037,6,12.8
V015,V047,6,12.8
V033,V037,6,10.2
V037,V047,6,10.0
V016,V049,6,12.2
V017,V022,6,10.0
V036,V044,6,10.3
V044,V049,6,12.2
V015,V016,6,12.8
V016,V030,6,9.5
V016,V037,6,10.0
V030,V045,6,11.1
V006,V045,6,11.1
V009,V048,6,10.3
V019,V027,6,10.2
V023,V038,6,12.2
V023,V043,6,12.2
V023,V050,6,12.2
V014,V038,6,12.2
V023,V048,6,12.2
V010,V023,6,12.2
V023,V027,6,12.2
V023,V041,6,12.2
V019,V041,6,11.3
V027,V046,6,10.9
V015,V046,6,12.8
V017,V031,6,10.3
V003,V029,6,11.8
V012,V021,6,11.3
V012,V045,6,11.3
V012,V050,6,11.3
V020,V025,6,9.2
V015,V044,6,12.8
V029,V042,6,11.8
V029,V030,6,11.8
V006,V047,6,10.5
V011,V033,6,10.2
V033,V034,6,11.3
V017,V034,6,11.3
V001,V044,6,10.3
V007,V013,6,15.0
V007,V047,6,9.8
V008,V009,6,11.1
V009,V011,6,10.3
V011,V031,6,10.3
V016,V018,6,9.8
V016,V022,6,10.0
V016,V033,6,10.2
V046,V048,6,10.9
V006,V022,6,10.5
V022,V046,6,10.9
V027,V039,6,10.2
V020,V030,6,8.8
V044,V047,6,10.3
V014,V050,6,12.2
V025,V034,6,11.3
V025,V050,6,10.5
V005,V012,6,11.3
V012,V031,6,11.3
V009,V012,6,11.3
V018,V037,6,10.0
V019,V044,6,10.3
V020,V027,6,10.2
V027,V029,6,11.8
V003,V050,6,10.5
V036,V041,6,11.3
V031,V039,6,10.3
V009,V022,6,10.3
V018,V024,6,10.2
V018,V025,6,9.8
V024,V043,6,11.8
V010,V043,6,11.8
V031,V033,6,10.3
V011,V050,6,10.5
V019,V049,6,12.2
V009,V041,6,11.3
V012,V024,6,11.3
V020,V050,6,10.5
V007,V023,6,12.2
V014,V018,6,12.2
V014,V036,6,12.2
V009,V046,6,10.9
V012,V030,6,11.3
V022,V029,6,11.8
V002,V006,6,10.5
V006,V050,6,10.5
V025,V046,6,10.9
V011,V018,6,9.8
V008,V026,6,11.1
V012,V025,6,11.3
V012,V049,6,12.2
V025,V028,6,11.1
V007,V025,6,9.4
V007,V037,6,10.0
V007,V010,6,10.0
V008,V017,6,11.1
V002,V019,6,10.0
V017,V043,6,11.8
V002,V031,6,10.3
V023,V039,6,12.2
V015,V034,6,12.8
V011,V043,6,11.8
V024,V040,6,10.2
V040,V049,6,12.2
V005,V035,6,10.3
V003,V019,6,9.7
V037,V050,6,10.5
V025,V038,6,11.3
V030,V039,6,8.8
V004,V014,6,15.8
V007,V039,6,9.4
V021,V027,6,10.2
V027,V044,6,10.3
V024,V028,6,11.1
V024,V035,6,10.2
V028,V044,6,11.1
V034,V037,6,11.3
V024,V031,6,10.3
V005,V040,6,10.3
V008,V035,6,11.1
V009,V050,6,10.5
V008,V028,5,9.3
V020,V043,5,9.8
V020,V046,5,9.1
V026,V042,5,7.9
V042,V043,5,9.8
V035,V038,5,9.4
V005,V016,5,8.6
V005,V023,5,10.2
V016,V023,5,10.2
V002,V027,5,8.5
V002,V043,5,9.8
V040,V043,5,9.8
V002,V013,5,12.5
V003,V014,5,10.2
V004,V017,5,13.2
V005,V041,5,9.4
V013,V038,5,12.5
V038,V045,5,9.4
V038,V046,5,9.4
V006,V032,5,8.8
V006,V034,5,9.4
V016,V032,5,8.6
V005,V044,5,8.6
V002,V026,5,8.3
V023,V031,5,10.2
V035,V049,5,10.2
V017,V041,5,9.4
V015,V036,5,10.6
V015,V040,5,10.6
V008,V014,5,10.2
V002,V024,5,8.5
V002,V038,5,9.4
V024,V038,5,9.4
V007,V043,5,9.8
V005,V028,5,9.3
V005,V030,5,8.6
V030,V046,5,9.1
V005,V029,5,9.8
V010,V021,5,8.3
V029,V041,5,9.8
V031,V046,5,9.1
V008,V047,5,9.3
V016,V047,5,8.2
V028,V034,5,9.4
V004,V022,5,13.2
V008,V018,5,9.3
V026,V027,5,8.5
V010,V033,5,8.5
V024,V049,5,10.2
V026,V049,5,10.2
V045,V049,5,10.2
V034,V043,5,9.8
V007,V036,5,7.8
V007,V040,5,8.5
V007,V032,5,8.6
V019,V035,5,8.1
V014,V034,5,10.2
V014,V044,5,10.2
V029,V043,5,9.8
V012,V026,5,9.4
V012,V034,5,9.4
V026,V034,5,9.4
V033,V047,5,8.5
V037,V045,5,9.3
V006,V048,5,8.8
V038,V040,5,9.4
V038,V043,5,9.8
V014,V045,5,10.2
V014,V048,5,10.2
V033,V048,5,8.5
V009,V030,5,8.6
V013,V030,5,12.5
V027,V047,5,8.5
V027,V033,5,8.5
V018,V046,5,9.1
V006,V020,5,8.8
V018,V029,5,9.8
V012,V038,5,9.4
V015,V029,5,10.6
V017,V029,5,9.8
V017,V030,5,7.4
V005,V006,5,8.8
V006,V017,5,8.8
V004,V011,5,13.2
V047,V049,5,10.2
V002,V044,5,8.6
V013,V023,5,12.5
V007,V008,5,9.3
V013,V047,5,12.5
V027,V031,5,8.6
V007,V046,5,9.1
V015,V025,5,10.6
V015,V048,5,10.6
V006,V023,5,10.2
V014,V022,5,10.2
V022,V043,5,9.8
V011,V040,5,8.5
V017,V040,5,8.5
V023,V029,5,10.2
V029,V032,5,9.8
V030,V031,5,8.6
V008,V025,5,9.3
V032,V050,5,8.8
V038,V047,5,9.4
V012,V018,5,9.4
V021,V044,5,8.6
V007,V026,5,7.8
V027,V035,5,8.5
V010,V042,5,8.3
V006,V041,5,9.4
V024,V041,5,9.4
V030,V041,5,9.4
V010,V017,5,8.3
V006,V031,5,8.8
V006,V010,5,8.8
V009,V043,5,9.8
V010,V022,5,8.3
V011,V028,5,9.3
V011,V030,5,7.5
V030,V049,5,10.2
V049,V050,5,10.2
V008,V041,5,9.4
V012,V014,5,10.2
V006,V038,5,9.4
V006,V040,5,8.8
V012,V028,5,9.4
V028,V029,5,9.8
V020,V048,5,7.4
V008,V033,5,9.3
V046,V049,5,10.2
V011,V021,5,7.5
V009,V032,5,8.6
V014,V028,5,10.2
V013,V022,5,12.5
V032,V046,5,9.1
V007,V049,5,10.2
V010,V030,5,8.3
V010,V028,5,9.3
V004,V026,5,13.2
V008,V010,5,9.3
V014,V019,5,10.2
V017,V037,5,8.3
V014,V031,5,10.2
V002,V036,5,8.3
V010,V034,5,9.4
V035,V046,5,9.1
V037,V039,5,8.3
V011,V037,5,8.3
V003,V007,5,7.8
V026,V028,5,9.3
V043,V048,5,9.8
V025,V029,5,9.8
V029,V038,5,9.8
V012,V023,5,10.2
V035,V047,5,8.2
V010,V019,5,8.3
V004,V028,5,13.2
V018,V038,5,9.4
V034,V041,5,9.4
V013,V014,5,12.5
V032,V039,5,8.6
V003,V036,5,7.7
V028,V032,5,9.3
V019,V043,4,7.8
V014,V042,4,8.2
V042,V046,4,7.3
V022,V028,4,7.4
V043,V046,4,7.8
V013,V035,4,10.0
V016,V029,4,7.8
V004,V035,4,10.5
V009,V019,4,6.9
V009,V023,4,8.2
V019,V024,4,6.8
V023,V024,4,8.2
V010,V012,4,7.5
V010,V027,4,6.8
V001,V037,4,6.7
V002,V014,4,8.2
V002,V046,4,7.3
V001,V004,4,10.5
V002,V004,4,10.5
V002,V017,4,6.7
V005,V038,4,7.5
V038,V041,4,7.5
V041,V045,4,7.5
V013,V034,4,10.0
V004,V010,4,10.5
V004,V037,4,10.5
V004,V044,4,10.5
V010,V032,4,6.9
V041,V044,4,7.5
V036,V046,4,7.3
V022,V023,4,8.2
V031,V036,4,6.9
V031,V049,4,8.2
V003,V049,4,8.2
V015,V021,4,8.5
V008,V043,4,7.8
V015,V031,4,8.5
V002,V047,4,6.7
V002,V030,4,6.7
V005,V021,4,6.9
V005,V050,4,7.0
V010,V046,4,7.3
V029,V031,4,7.8
V031,V041,4,7.5
V019,V034,4,7.5
V004,V023,4,10.5
V003,V009,4,6.9
V036,V037,4,6.7
V027,V042,4,6.8
V010,V045,4,7.4
V013,V024,4,10.0
V013,V033,4,10.0
V036,V043,4,7.8
V006,V029,4,7.8
V029,V034,4,7.8
V015,V026,4,8.5
V015,V045,4,8.5
V034,V048,4,7.5
V023,V045,4,8.2
V010,V040,4,6.8
V023,V040,4,8.2
V023,V047,4,8.2
V041,V047,4,7.5
V027,V050,4,7.0
V003,V006,4,7.0
V017,V050,4,7.0
V021,V045,4,7.4
V005,V015,4,8.5
V015,V049,4,8.5
V004,V033,4,10.5
V024,V048,4,6.8
V015,V039,4,8.5
V002,V015,4,8.5
V013,V044,4,10.0
V015,V023,4,8.5
V015,V041,4,8.5
V016,V041,4,7.5
V008,V013,4,10.0
V013,V019,4,10.0
V019,V040,4,6.8
V032,V040,4,6.9
V032,V047,4,6.9
V004,V015,4,10.5
V004,V016,4,10.5
V021,V022,4,6.7
V022,V033,4,6.8
V014,V015,4,8.5
V027,V043,4,7.8
V012,V040,4,7.5
V020,V023,4,8.2
V023,V030,4,8.2
V015,V032,4,8.5
V031,V047,4,6.9
V017,V033,4,6.8
V021,V023,4,8.2
V024,V027,4,6.8
V025,V033,4,6.8
V009,V038,4,7.5
V025,V043,4,7.8
V010,V015,4,8.5
V028,V049,4,8.2
V026,V044,4,6.9
V008,V024,4,7.4
V023,V033,4,8.2
V033,V036,4,6.8
V028,V040,4,7.4
V015,V035,4,8.5
V035,V044,4,6.9
V039,V041,4,7.5
V023,V037,4,8.2
V035,V037,4,6.7
V002,V032,4,6.9
V002,V008,4,7.4
V005,V008,4,7.4
V028,V038,4,7.5
V022,V041,4,7.5
V041,V049,4,8.2
V023,V026,4,8.2
V012,V019,4,7.5
V007,V044,4,6.9
V023,V028,4,8.2
V022,V024,4,6.8
V008,V037,4,7.4
V037,V049,4,8.2
V007,V028,4,7.4
V022,V027,4,6.8
V004,V045,4,10.5
V014,V026,4,8.2
V037,V043,4,7.8
V034,V045,4,7.5
V004,V020,4,10.5
V036,V050,4,7.0
V018,V032,4,6.9
V015,V024,4,8.5
V020,V037,4,6.7
V004,V019,4,10.5
V014,V032,4,8.2
V004,V031,4,10.5
V018,V049,4,8.2
V009,V047,4,6.9
V034,V046,4,7.5
V012,V047,4,7.5
V013,V018,4,10.0
V012,V039,4,7.5
V040,V050,4,7.0
V033,V044,4,6.9
V033,V042,4,6.8
V011,V023,4,8.2
V009,V044,4,6.9
V025,V040,4,6.8
V026,V032,4,6.9
V018,V030,4,6.6
V010,V036,4,6.7
V033,V043,4,7.8
V030,V038,4,7.5
V008,V049,4,8.2
V031,V040,4,6.9
V003,V038,4,7.5
V007,V041,4,7.5
V047,V050,4,7.0
V014,V037,3,6.1
V013,V029,3,7.5
V004,V021,3,7.9
V002,V012,3,5.7
V010,V048,3,5.0
V013,V046,3,7.5
V045,V046,3,5.6
V013,V032,3,7.5
V037,V044,3,5.2
V023,V049,3,6.1
V002,V049,3,6.1
V028,V041,3,5.7
V002,V050,3,5.3
V004,V008,3,7.9
V004,V042,3,7.9
V003,V024,3,5.1
V040,V042,3,5.1
V013,V049,3,7.5
V033,V049,3,6.1
V009,V040,3,5.2
V036,V045,3,5.6
V014,V029,3,6.1
V034,V044,3,5.7
V019,V037,3,5.0
V009,V049,3,6.1
V014,V047,3,6.1
V009,V028,3,5.6
V013,V042,3,7.5
V027,V028,3,5.6
V033,V046,3,5.5
V045,V050,3,5.6
V045,V047,3,5.6
V015,V042,3,6.4
V029,V049,3,6.1
V006,V021,3,5.3
V004,V034,3,7.9
V015,V028,3,6.4
V002,V023,3,6.1
V008,V031,3,5.6
V008,V045,3,5.6
V027,V045,3,5.6
V018,V019,3,4.9
V002,V034,3,5.7
V034,V050,3,5.7
V012,V044,3,5.7
V029,V037,3,5.9
V019,V021,3,4.8
V018,V027,3,5.1
V004,V006,3,7.9
V004,V027,3,7.9
V004,V030,3,7.9
V007,V014,3,6.1
V014,V035,3,6.1
V029,V033,3,5.9
V029,V036,3,5.9
V032,V045,3,5.6
V015,V038,3,6.4
V008,V015,3,6.4
V013,V025,3,7.5
V018,V044,3,5.2
V018,V050,3,5.3
V021,V024,3,5.1
V030,V044,3,5.2
V034,V040,3,5.7
V004,V046,3,7.9
V034,V049,3,6.1
V038,V049,3,6.1
V022,V038,3,5.7
V019,V031,3,5.2
V009,V035,3,5.2
V008,V036,3,5.6
V004,V009,3,7.9
V044,V045,3,5.6
V003,V023,3,6.1
V007,V029,3,5.9
V003,V012,3,5.7
V004,V039,3,7.9
V014,V017,3,6.1
V006,V007,3,5.3
V013,V021,3,7.5
V011,V038,3,5.7
V018,V031,3,5.2
V012,V046,3,5.7
V043,V047,3,5.9
V026,V050,3,5.3
V018,V041,3,5.7
V034,V038,3,5.7
V015,V050,2,4.3
V004,V038,2,5.3
V013,V037,2,5.0
V013,V026,2,5.0
V006,V013,2,5.0
V004,V005,2,5.3
V023,V025,2,4.1
