bid_id,tender_id,vendor_id,bid_amount_inr,submission_timestamp,bid_status,disqualification_reason,technical_score,financial_score,is_winner
B0028,T008,V004,116956566,2023-02-24 20:30:00,QUALIFIED,,85.6,91.3,True
B0029,T008,V038,113712700,2023-01-27 02:30:00,QUALIFIED,,76.4,71.7,False
B0030,T008,V048,130202417,2023-02-14 02:30:00,QUALIFIED,,87.0,84.5,False
B0031,T008,V035,110957548,2023-02-23 21:30:00,QUALIFIED,,86.9,77.9,False
B0032,T008,V021,116131729,2023-02-04 22:30:00,QUALIFIED,,83.3,86.8,False
B0033,T009,V001,5416259,2023-01-27 23:30:00,QUALIFIED,,87.8,94.7,True
B0034,T009,V017,6425413,2023-02-22 23:30:00,QUALIFIED,,77.2,92.0,False
B0035,T009,V009,5957954,2023-02-20 01:30:00,QUALIFIED,,87.7,87.9,False
B0036,T009,V023,5884904,2023-02-02 23:30:00,QUALIFIED,,80.3,92.7,False
B0037,T009,V005,5701528,2023-02-02 21:30:00,QUALIFIED,,75.9,78.3,False
B0038,T009,V016,5797562,2023-02-15 01:30:00,QUALIFIED,,86.6,80.7,False
B0039,T009,V024,5652168,2023-02-21 01:30:00,QUALIFIED,,92.5,84.6,False
B0040,T009,V019,5818293,2023-02-19 03:30:00,QUALIFIED,,93.9,89.9,False
B0041,T010,V001,24766823,2023-02-12 21:30:00,QUALIFIED,,91.8,91.6,True
B0042,T010,V048,30183873,2023-02-15 01:30:00,QUALIFIED,,77.3,91.8,False
B0043,T010,V010,30445927,2023-02-16 00:30:00,QUALIFIED,,84.7,77.6,False
B0044,T010,V016,30099502,2023-02-16 00:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,52.7,0.0,False
B0045,T010,V011,27541158,2023-02-20 23:30:00,QUALIFIED,,85.7,87.0,False
B0046,T010,V012,30364140,2023-02-13 03:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,63.6,0.0,False
B0047,T010,V027,26721243,2023-02-15 03:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,56.1,0.0,False
B0048,T010,V002,29733618,2023-02-12 21:30:00,QUALIFIED,,85.7,79.6,False
B0049,T011,V001,133766309,2023-02-10 23:30:00,QUALIFIED,,81.8,87.4,False
B0050,T011,V002,126687352,2023-02-13 21:30:00,QUALIFIED,,83.0,88.7,False
B0051,T011,V003,108970802,2023-02-01 23:30:00,QUALIFIED,,83.5,90.8,True
B0052,T011,V040,120646727,2023-02-13 21:30:00,QUALIFIED,,87.7,78.1,False
B0053,T011,V021,123971853,2023-02-13 20:30:00,QUALIFIED,,95.2,88.4,False
B0054,T011,V043,129205427,2023-02-10 22:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,63.3,0.0,False
B0055,T012,V001,46468037,2023-02-04 21:30:00,QUALIFIED,,88.8,70.1,False
B0056,T012,V002,46938286,2023-02-16 21:30:00,QUALIFIED,,91.9,87.4,False
B0057,T012,V003,44471968,2023-02-03 00:30:00,QUALIFIED,,77.5,73.3,False
B0058,T012,V027,44472772,2023-02-03 22:30:00,QUALIFIED,,93.7,85.3,False
B0059,T012,V041,46665398,2023-02-03 21:30:00,QUALIFIED,,86.5,92.4,False
B0060,T012,V037,40880423,2023-02-04 20:30:00,QUALIFIED,,80.4,76.2,True
B0061,T012,V013,45962633,2023-02-03 20:30:00,QUALIFIED,,80.8,71.9,False
B0062,T013,V001,79954991,2023-02-08 22:30:00,QUALIFIED,,86.4,80.4,True
B0063,T013,V002,93787451,2023-02-21 21:30:00,QUALIFIED,,91.2,93.7,False
B0064,T013,V003,84311023,2023-02-10 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,54.9,0.0,False
B0065,T013,V046,97422387,2023-02-09 00:30:00,QUALIFIED,,80.7,82.1,False
B0066,T013,V014,90908752,2023-02-10 01:30:00,QUALIFIED,,94.3,94.5,False
B0067,T014,V001,152264238,2023-02-22 22:30:00,QUALIFIED,,83.0,88.8,False
B0068,T014,V002,171492772,2023-02-25 02:30:00,QUALIFIED,,90.7,71.3,False
B0069,T014,V004,149756528,2023-02-26 02:30:00,QUALIFIED,,91.4,86.3,True
B0070,T014,V017,169084304,2023-02-26 00:30:00,QUALIFIED,,88.0,76.0,False
B0071,T014,V025,160383310,2023-03-02 00:30:00,QUALIFIED,,80.4,79.2,False
B0072,T015,V026,212345855,2023-02-16 02:30:00,QUALIFIED,,91.7,84.1,True
B0073,T015,V046,221402120,2023-02-07 21:30:00,QUALIFIED,,76.4,86.2,False
B0074,T015,V013,220075081,2023-02-11 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,63.5,0.0,False
B0075,T015,V005,249165287,2023-02-11 01:30:00,QUALIFIED,,90.4,94.1,False
B0076,T015,V038,232096759,2023-02-07 20:30:00,QUALIFIED,,92.3,84.8,False
B0077,T015,V045,234535471,2023-02-18 02:30:00,QUALIFIED,,84.5,88.8,False
B0078,T015,V041,246095522,2023-02-12 22:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,61.9,0.0,False
B0079,T016,V001,5228891,2023-02-05 20:30:00,QUALIFIED,,77.0,75.5,False
B0080,T016,V034,5230034,2023-02-17 22:30:00,QUALIFIED,,86.1,80.6,False
B0081,T016,V013,5282557,2023-02-15 22:30:00,QUALIFIED,,80.7,76.3,False
B0082,T016,V006,4363314,2023-02-24 22:30:00,QUALIFIED,,77.5,83.4,True
B0083,T016,V016,5298324,2023-02-26 00:30:00,QUALIFIED,,85.2,88.1,False
B0084,T016,V027,5506309,2023-02-19 02:30:00,QUALIFIED,,81.2,79.0,False
B0085,T016,V032,4852200,2023-02-28 23:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,50.8,0.0,False
B0086,T016,V036,4842373,2023-02-28 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,50.2,0.0,False
B0087,T017,V032,104664913,2023-02-25 14:45:00,QUALIFIED,,77.5,89.1,False
B0088,T017,V005,89118177,2023-02-15 12:45:00,QUALIFIED,,91.3,79.5,True
B0089,T017,V037,106513970,2023-02-25 09:45:00,QUALIFIED,,88.0,85.2,False
B0090,T017,V041,103315514,2023-02-28 12:45:00,QUALIFIED,,76.7,76.0,False
B0091,T017,V044,99743266,2023-03-01 15:45:00,QUALIFIED,,89.5,81.7,False
B0092,T017,V004,89879980,2023-02-25 11:45:00,QUALIFIED,,84.5,87.2,False
B0093,T017,V010,106806566,2023-02-14 12:45:00,QUALIFIED,,86.4,86.2,False
B0094,T018,V001,18205736,2023-02-16 02:30:00,QUALIFIED,,87.6,92.2,True
B0095,T018,V002,18338426,2023-02-19 23:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,53.2,0.0,False
B0096,T018,V045,18233045,2023-02-09 03:30:00,QUALIFIED,,89.1,76.7,False
B0097,T018,V026,18338426,2023-03-01 01:30:00,QUALIFIED,,88.7,92.9,False
B0098,T018,V018,18338426,2023-02-24 21:30:00,QUALIFIED,,85.3,72.3,False
B0099,T018,V033,18338426,2023-02-18 21:30:00,QUALIFIED,,89.1,91.4,False
B0100,T019,V001,101656625,2023-02-17 03:30:00,QUALIFIED,,88.8,83.6,True
B0101,T019,V017,101809110,2023-02-16 03:30:00,QUALIFIED,,82.6,88.9,False
B0102,T020,V046,67873538,2023-02-14 02:30:00,DISQUALIFIED,Defective EMD bank guarantee instrument,57.2,0.0,False
B0103,T020,V011,80416038,2023-02-13 20:30:00,DISQUALIFIED,Non-submission of audited turnover sheet for FY23,46.7,0.0,False
B0104,T020,V020,81283729,2023-02-12 20:30:00,DISQUALIFIED,Defective EMD bank guarantee instrument,45.9,0.0,False
B0105,T020,V036,78965755,2023-02-13 00:30:00,DISQUALIFIED,Non-submission of audited turnover sheet for FY23,50.1,0.0,False
B0106,T020,V001,72205891,2023-02-13 23:30:00,QUALIFIED,,91.2,91.4,True
B0107,T021,V001,12961186,2023-03-07 00:30:00,QUALIFIED,,95.6,76.0,True
B0108,T021,V031,14222662,2023-02-17 21:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,60.4,0.0,False
B0109,T021,V023,15124369,2023-02-19 21:30:00,QUALIFIED,,88.9,90.5,False
B0110,T021,V022,15895498,2023-03-02 03:30:00,QUALIFIED,,95.3,78.3,False
B0111,T021,V036,13431901,2023-02-17 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,62.7,0.0,False
B0112,T021,V049,13194015,2023-03-12 21:30:00,QUALIFIED,,95.4,71.9,False
B0113,T021,V035,15337857,2023-03-08 22:30:00,QUALIFIED,,83.3,72.0,False
B0114,T021,V025,14070430,2023-02-23 21:30:00,QUALIFIED,,88.2,92.2,False
B0115,T022,V001,23326137,2023-03-05 20:30:00,QUALIFIED,,81.3,70.7,False
B0116,T022,V002,20028670,2023-03-07 23:30:00,QUALIFIED,,82.5,80.8,True
B0117,T022,V003,21622512,2023-02-24 01:30:00,QUALIFIED,,76.7,91.8,False
B0118,T022,V049,23264747,2023-03-01 20:30:00,QUALIFIED,,78.0,81.5,False
B0119,T023,V001,142392834,2023-03-07 21:30:00,QUALIFIED,,77.2,79.5,False
B0120,T023,V002,129904428,2023-03-01 23:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,61.6,0.0,False
B0121,T023,V003,130850578,2023-03-20 03:30:00,QUALIFIED,,90.6,90.8,False
B0122,T023,V020,143872688,2023-03-05 22:30:00,QUALIFIED,,79.0,76.3,False
B0123,T023,V041,140088826,2023-03-12 02:30:00,QUALIFIED,,88.6,77.7,False
B0124,T023,V028,132006540,2023-02-25 01:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,54.1,0.0,False
B0125,T023,V045,139880925,2023-03-09 00:30:00,QUALIFIED,,86.3,94.3,False
B0126,T023,V017,119720028,2023-03-03 01:30:00,QUALIFIED,,80.4,90.6,True
B0127,T024,V036,166308867,2023-02-17 21:30:00,QUALIFIED,,75.3,83.4,True
B0128,T025,V040,113135738,2023-02-20 23:30:00,QUALIFIED,,77.5,71.1,False
B0129,T025,V036,150208668,2023-03-19 23:30:00,QUALIFIED,,77.4,75.9,False
B0130,T025,V021,110806324,2023-02-25 20:30:00,QUALIFIED,,94.9,87.4,False
B0131,T025,V015,110862301,2023-03-12 21:30:00,QUALIFIED,,92.5,85.4,False
B0132,T025,V001,105696127,2023-03-05 03:30:00,QUALIFIED,,89.5,75.4,True
B0133,T026,V008,34219721,2023-03-18 22:30:00,QUALIFIED,,77.6,84.1,False
B0134,T026,V030,28774083,2023-02-24 00:30:00,QUALIFIED,,92.1,75.8,False
B0135,T026,V006,33032672,2023-02-23 03:30:00,QUALIFIED,,95.7,94.7,False
B0136,T026,V043,31619778,2023-02-23 01:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,62.1,0.0,False
B0137,T026,V014,27169693,2023-03-21 04:29:18,QUALIFIED,,82.5,89.7,True
B0138,T027,V001,69268988,2023-02-25 00:30:00,QUALIFIED,,75.9,89.6,False
B0139,T027,V002,70997347,2023-02-24 23:30:00,QUALIFIED,,95.2,71.5,False
B0140,T027,V050,70997347,2023-02-25 21:30:00,QUALIFIED,,77.3,87.8,False
B0141,T027,V024,69165240,2023-03-10 22:30:00,QUALIFIED,,87.8,71.6,True
B0142,T027,V033,70997347,2023-03-04 22:30:00,QUALIFIED,,87.5,77.4,False
B0143,T027,V038,70997347,2023-02-24 21:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,59.8,0.0,False
B0144,T027,V007,70997347,2023-02-24 00:30:00,QUALIFIED,,93.6,80.3,False
B0145,T028,V044,29001190,2023-03-16 02:30:00,QUALIFIED,,77.0,72.4,True
B0146,T028,V031,31571569,2023-03-14 03:30:00,QUALIFIED,,86.8,78.2,False
B0147,T029,V001,74092452,2023-03-05 22:30:00,QUALIFIED,,77.4,77.0,True
B0148,T029,V043,79517991,2023-03-10 03:30:00,DISQUALIFIED,Non-submission of audited turnover sheet for FY23,56.9,0.0,False
B0149,T029,V031,89256479,2023-03-15 03:30:00,DISQUALIFIED,Technical criteria deficit: past similar experience below threshold,46.4,0.0,False
B0150,T029,V015,88174138,2023-03-12 22:30:00,DISQUALIFIED,Technical criteria deficit: past similar experience below threshold,44.9,0.0,False
B0151,T029,V007,78179698,2023-03-01 21:30:00,DISQUALIFIED,Technical criteria deficit: past similar experience below threshold,44.3,0.0,False
B0152,T030,V001,28121996,2023-03-06 02:30:00,QUALIFIED,,93.6,73.9,True
B0153,T030,V002,32219741,2023-03-23 02:30:00,QUALIFIED,,88.9,82.1,False
B0154,T030,V003,30374421,2023-03-16 00:30:00,QUALIFIED,,77.4,80.7,False
B0155,T030,V020,29436392,2023-03-02 20:30:00,QUALIFIED,,81.5,75.5,False
B0156,T030,V047,33578425,2023-03-23 03:30:00,QUALIFIED,,94.9,89.2,False
B0157,T030,V021,32277187,2023-03-14 22:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,57.0,0.0,False
B0158,T031,V002,198253650,2023-03-14 23:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,50.3,0.0,False
B0159,T031,V030,147189514,2023-03-02 20:30:00,DISQUALIFIED,Minor technical non-compliance in machinery deployment schedule,68.0,0.0,False
B0160,T031,V005,162048512,2023-02-26 22:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,61.8,0.0,False
B0161,T031,V021,210908138,2023-03-20 21:30:00,QUALIFIED,,87.4,83.1,True
B0162,T031,V037,149269259,2023-03-18 22:30:00,QUALIFIED,,91.4,71.9,False
B0163,T031,V028,156225068,2023-03-12 00:30:00,QUALIFIED,,82.3,88.2,False
B0164,T031,V046,161665441,2023-03-02 01:30:00,QUALIFIED,,78.1,74.9,False
B0165,T032,V021,189143781,2023-03-06 15:45:00,QUALIFIED,,76.6,81.5,False
B0166,T032,V041,163034061,2023-03-08 11:45:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,62.1,0.0,False
B0167,T032,V050,191172883,2023-03-06 09:45:00,QUALIFIED,,86.6,89.8,False
B0168,T032,V010,192569469,2023-03-07 12:45:00,QUALIFIED,,85.0,73.8,False
B0169,T032,V029,153988404,2023-03-10 10:45:00,QUALIFIED,,95.6,72.1,True
B0170,T032,V005,183974898,2023-03-10 12:45:00,QUALIFIED,,95.8,83.1,False
B0171,T032,V031,182724969,2023-03-08 10:45:00,QUALIFIED,,83.1,89.4,False
B0172,T032,V046,185102625,2023-03-10 10:45:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,51.3,0.0,False
B0173,T033,V001,165609321,2023-03-28 23:30:00,QUALIFIED,,86.7,86.1,True
B0174,T033,V002,180768782,2023-03-26 02:30:00,QUALIFIED,,83.9,79.0,False
B0175,T033,V020,181995403,2023-03-23 00:30:00,QUALIFIED,,91.1,74.8,False
B0176,T033,V042,204908548,2023-03-25 02:30:00,QUALIFIED,,91.6,82.7,False
B0177,T033,V045,188364601,2023-03-01 03:30:00,QUALIFIED,,93.4,85.5,False
B0178,T033,V043,190430795,2023-03-25 01:30:00,QUALIFIED,,89.5,85.6,False
B0179,T034,V001,110062170,2023-03-11 00:30:00,QUALIFIED,,82.7,93.7,True
B0180,T034,V002,119478470,2023-03-11 20:30:00,QUALIFIED,,91.3,82.6,False
B0181,T034,V035,116489479,2023-03-21 00:30:00,QUALIFIED,,77.9,76.3,False
B0182,T034,V016,121553505,2023-03-15 02:30:00,QUALIFIED,,85.8,73.1,False
B0183,T034,V020,108870492,2023-03-20 23:30:00,QUALIFIED,,85.8,90.8,False
B0184,T035,V001,9787284,2023-03-06 03:30:00,QUALIFIED,,77.1,87.9,False
B0185,T035,V002,9772625,2023-03-06 01:30:00,QUALIFIED,,75.8,92.9,True
B0186,T036,V047,119505211,2023-03-24 21:30:00,QUALIFIED,,88.1,71.6,False
B0187,T036,V039,137221868,2023-03-17 03:30:00,QUALIFIED,,87.1,88.0,False
B0188,T036,V034,123704225,2023-03-31 22:30:00,QUALIFIED,,83.7,86.6,False
B0189,T036,V028,118607174,2023-03-21 02:30:00,QUALIFIED,,86.4,89.7,False
B0190,T036,V008,129066282,2023-03-31 21:30:00,QUALIFIED,,75.9,79.7,False
B0191,T036,V019,125737275,2023-03-09 03:30:00,QUALIFIED,,76.4,76.0,False
B0192,T036,V016,132771055,2023-03-28 22:30:00,QUALIFIED,,82.4,78.5,False
B0193,T036,V020,132416425,2023-03-05 20:30:00,QUALIFIED,,85.0,74.6,False
B0194,T036,V001,111626162,2023-03-09 20:30:00,QUALIFIED,,75.8,75.0,True
B0195,T037,V023,89111067,2023-03-22 20:30:00,QUALIFIED,,83.1,94.3,False
B0196,T037,V004,90138913,2023-03-19 22:30:00,QUALIFIED,,85.9,90.0,False
B0197,T037,V042,82239564,2023-04-01 21:30:00,QUALIFIED,,87.7,90.6,True
B0198,T037,V022,90993623,2023-03-25 02:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,59.3,0.0,False
B0199,T037,V018,86848045,2023-03-15 21:30:00,QUALIFIED,,84.3,81.2,False
B0200,T037,V008,94139341,2023-03-23 21:30:00,QUALIFIED,,95.6,93.7,False
B0201,T038,V003,159575389,2023-04-06 01:30:00,QUALIFIED,,94.9,79.3,False
B0202,T038,V009,154310807,2023-03-30 22:30:00,QUALIFIED,,88.6,76.2,False
B0203,T038,V005,135961131,2023-03-27 20:30:00,QUALIFIED,,94.2,72.9,False
B0204,T038,V016,134451015,2023-03-11 00:30:00,QUALIFIED,,95.9,77.1,True
B0205,T038,V042,158643601,2023-03-08 00:30:00,QUALIFIED,,92.9,81.3,False
B0206,T038,V024,158140824,2023-03-11 02:30:00,QUALIFIED,,95.3,94.7,False
B0207,T038,V045,151620517,2023-04-03 23:30:00,QUALIFIED,,92.9,87.8,False
B0208,T039,V024,148806882,2023-03-28 02:30:00,QUALIFIED,,96.0,88.0,False
B0209,T039,V036,130551246,2023-03-17 02:30:00,QUALIFIED,,77.6,77.9,True
B0210,T039,V037,133741626,2023-03-15 22:30:00,QUALIFIED,,92.4,83.8,False
B0211,T039,V030,148130006,2023-03-25 21:30:00,QUALIFIED,,93.2,90.8,False
B0212,T040,V017,17723017,2023-03-13 23:30:00,QUALIFIED,,92.0,94.0,True
B0213,T040,V038,19369418,2023-03-29 23:30:00,QUALIFIED,,86.5,82.0,False
B0214,T040,V026,20047348,2023-03-15 02:30:00,QUALIFIED,,88.0,84.0,False
B0215,T040,V036,20725277,2023-03-18 01:30:00,QUALIFIED,,89.5,86.0,False
B0216,T040,V027,21403207,2023-03-16 01:30:00,QUALIFIED,,91.0,88.0,False
B0217,T041,V042,13536665,2023-03-24 23:30:00,QUALIFIED,,85.1,90.1,True
B0218,T041,V014,15678951,2023-03-23 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,50.8,0.0,False
B0219,T041,V037,14964487,2023-03-12 20:30:00,QUALIFIED,,87.7,77.8,False
B0220,T041,V027,15776117,2023-03-20 21:30:00,QUALIFIED,,82.8,84.0,False
B0221,T041,V040,14613669,2023-03-14 02:30:00,QUALIFIED,,80.2,72.4,False
B0222,T041,V041,14529512,2023-03-18 21:30:00,QUALIFIED,,93.2,74.0,False
B0223,T042,V006,45487846,2023-03-27 03:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,56.9,0.0,False
B0224,T042,V026,44449397,2023-03-17 20:30:00,QUALIFIED,,81.0,70.2,True
B0225,T042,V033,44491610,2023-04-02 23:30:00,QUALIFIED,,91.0,79.1,False
B0226,T042,V030,47203999,2023-03-20 00:30:00,QUALIFIED,,81.1,79.7,False
B0227,T043,V024,149704982,2023-03-30 22:30:00,QUALIFIED,,91.9,83.0,True
B0228,T043,V049,162464382,2023-03-19 01:30:00,QUALIFIED,,87.9,74.1,False
B0229,T043,V010,190664814,2023-03-25 22:30:00,QUALIFIED,,85.7,82.2,False
B0230,T043,V013,176334956,2023-03-20 03:30:00,QUALIFIED,,89.1,94.5,False
B0231,T043,V039,177031122,2023-03-15 03:30:00,QUALIFIED,,80.6,86.4,False
B0232,T043,V033,190042997,2023-03-17 00:30:00,QUALIFIED,,87.3,74.3,False
B0233,T043,V026,178549678,2023-03-15 21:30:00,QUALIFIED,,89.3,70.8,False
B0234,T043,V045,189243843,2023-04-01 00:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,54.4,0.0,False
B0235,T044,V036,138586286,2023-04-03 20:30:00,QUALIFIED,,82.2,78.9,False
B0236,T044,V021,151252525,2023-03-29 20:30:00,QUALIFIED,,80.2,84.0,False
B0237,T044,V043,136129380,2023-03-26 23:30:00,QUALIFIED,,89.5,82.2,False
B0238,T044,V031,128308413,2023-03-28 23:30:00,QUALIFIED,,77.6,86.9,True
B0239,T044,V034,140408992,2023-03-20 22:30:00,QUALIFIED,,91.9,77.3,False
B0240,T045,V036,129262405,2023-04-07 03:30:00,QUALIFIED,,86.2,85.9,False
B0241,T045,V045,116197868,2023-03-31 22:30:00,QUALIFIED,,77.1,89.3,False
B0242,T045,V018,115041152,2023-03-28 01:30:00,QUALIFIED,,94.6,92.0,False
B0243,T045,V009,126588028,2023-04-07 23:30:00,QUALIFIED,,88.6,92.7,False
B0244,T045,V007,117101771,2023-03-27 00:30:00,QUALIFIED,,90.2,93.4,False
B0245,T045,V040,117733340,2023-04-08 21:30:00,QUALIFIED,,93.5,74.4,True
B0246,T046,V007,59410379,2023-03-20 23:30:00,QUALIFIED,,77.4,74.1,False
B0247,T046,V022,55213433,2023-04-03 01:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,54.7,0.0,False
B0248,T046,V019,48889257,2023-04-07 01:30:00,QUALIFIED,,87.8,86.0,True
B0249,T046,V030,54641660,2023-03-22 22:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,59.4,0.0,False
B0250,T046,V042,52279513,2023-04-10 20:30:00,QUALIFIED,,80.2,76.5,False
B0251,T046,V035,52822560,2023-04-01 22:30:00,QUALIFIED,,90.2,70.3,False
B0252,T046,V034,57297953,2023-04-04 03:30:00,QUALIFIED,,84.8,74.0,False
B0253,T046,V032,57644610,2023-03-31 02:30:00,QUALIFIED,,94.8,79.2,False
B0254,T047,V043,120056908,2023-03-31 02:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,57.7,0.0,False
B0255,T047,V014,130795573,2023-03-31 01:30:00,QUALIFIED,,92.9,81.0,False
B0256,T047,V016,135187887,2023-03-26 20:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,57.1,0.0,False
B0257,T047,V044,138414048,2023-04-04 01:30:00,QUALIFIED,,84.6,71.4,False
B0258,T047,V039,129712401,2023-03-23 23:30:00,QUALIFIED,,83.3,90.4,False
B0259,T047,V006,119308618,2023-03-31 02:30:00,QUALIFIED,,76.0,78.6,True
B0260,T047,V034,119696524,2023-04-17 02:30:00,QUALIFIED,,84.9,77.2,False
B0261,T047,V029,122616759,2023-04-13 21:30:00,QUALIFIED,,93.7,81.2,False
B0262,T048,V012,27184823,2023-04-13 03:30:00,QUALIFIED,,95.5,81.6,False
B0263,T048,V035,23727930,2023-04-06 21:30:00,QUALIFIED,,92.3,76.2,True
B0264,T048,V026,25273129,2023-04-12 00:30:00,QUALIFIED,,90.2,72.8,False
B0265,T048,V034,27593608,2023-04-07 03:30:00,QUALIFIED,,76.4,84.8,False
B0266,T049,V033,16227926,2023-03-22 22:30:00,QUALIFIED,,93.4,94.6,False
B0267,T049,V019,16055041,2023-04-02 23:30:00,QUALIFIED,,86.7,84.8,False
B0268,T049,V015,14587783,2023-04-10 21:30:00,QUALIFIED,,86.7,71.2,True
B0269,T049,V047,15511280,2023-03-26 21:30:00,QUALIFIED,,81.7,80.4,False
B0270,T049,V037,14911060,2023-04-04 01:30:00,QUALIFIED,,84.9,91.2,False
B0271,T050,V021,11315875,2023-04-04 22:30:00,QUALIFIED,,92.0,94.0,True
B0272,T050,V034,12367076,2023-04-17 00:30:00,QUALIFIED,,86.5,82.0,False
B0273,T050,V039,12799924,2023-04-17 23:30:00,QUALIFIED,,88.0,84.0,False
B0274,T050,V026,13232771,2023-04-07 03:30:00,QUALIFIED,,89.5,86.0,False
B0275,T050,V047,13665619,2023-03-23 02:30:00,QUALIFIED,,91.0,88.0,False
B0276,T051,V048,60724573,2023-04-09 22:30:00,QUALIFIED,,83.0,83.3,False
B0277,T051,V049,54732360,2023-04-08 22:30:00,QUALIFIED,,85.8,82.4,True
B0278,T051,V031,57173724,2023-03-25 22:30:00,QUALIFIED,,82.8,80.3,False
B0279,T051,V016,62701126,2023-04-11 01:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,57.7,0.0,False
