award_id,tender_id,winner_vendor_id,awarded_amount_inr,award_date,award_reason
A125,T125,V038,54879340,2023-08-15,Lowest responsive and technically qualified bidder (L1)
A126,T126,V001,36831171,2023-08-24,Lowest responsive and technically qualified bidder (L1)
A127,T127,V009,15979418,2023-08-16,Lowest responsive and technically qualified bidder (L1)
A128,T128,V025,161304168,2023-08-11,Lowest responsive and technically qualified bidder (L1)
A129,T129,V006,49550342,2023-08-09,Lowest responsive and technically qualified bidder (L1)
A130,T130,V048,14301722,2023-08-24,Lowest responsive and technically qualified bidder (L1)
A131,T131,V023,110997448,2023-08-20,Lowest responsive and technically qualified bidder (L1)
A132,T132,V042,50741266,2023-08-18,Lowest responsive and technically qualified bidder (L1)
A133,T133,V011,143750370,2023-08-13,Lowest responsive and technically qualified bidder (L1)
A134,T134,V016,113095385,2023-08-28,Lowest responsive and technically qualified bidder (L1)
A135,T135,V015,145626180,2023-08-31,Lowest responsive and technically qualified bidder (L1)
A136,T136,V005,120556545,2023-08-29,Lowest responsive and technically qualified bidder (L1)
A137,T137,V007,48685094,2023-08-31,Lowest responsive and technically qualified bidder (L1)
A138,T138,V021,45353979,2023-09-01,Lowest responsive and technically qualified bidder (L1)
A139,T139,V020,111453852,2023-09-01,Lowest responsive and technically qualified bidder (L1)
A140,T140,V049,5043632,2023-09-06,Lowest responsive and technically qualified bidder (L1)
A141,T141,V048,50406572,2023-09-06,Lowest responsive and technically qualified bidder (L1)
A142,T142,V039,34195448,2023-09-05,Lowest responsive and technically qualified bidder (L1)
A143,T143,V025,124512509,2023-09-05,Lowest responsive and technically qualified bidder (L1)
A144,T144,V001,115171155,2023-09-05,Lowest responsive and technically qualified bidder (L1)
A145,T145,V008,11541046,2023-09-04,Lowest responsive and technically qualified bidder (L1)
A146,T146,V007,85599557,2023-09-06,Lowest responsive and technically qualified bidder (L1)
A147,T147,V044,168871957,2023-09-19,Lowest responsive and technically qualified bidder (L1)
A148,T148,V050,25859395,2023-09-08,Lowest responsive and technically qualified bidder (L1)
A149,T149,V007,165013965,2023-09-11,Lowest responsive and technically qualified bidder (L1)
A150,T150,V026,8762492,2023-09-26,Lowest responsive and technically qualified bidder (L1)
A151,T151,V021,67909203,2023-09-14,Lowest responsive and technically qualified bidder (L1)
A152,T152,V032,125106979,2023-09-15,Lowest responsive and technically qualified bidder (L1)
A153,T153,V050,146692854,2023-09-11,Lowest responsive and technically qualified bidder (L1)
A154,T154,V026,145030769,2023-09-22,Lowest responsive and technically qualified bidder (L1)
A155,T155,V030,147739604,2023-09-09,Lowest responsive and technically qualified bidder (L1)
A156,T156,V014,24372022,2023-09-14,Lowest responsive and technically qualified bidder (L1)
A157,T157,V018,126092741,2023-09-28,Lowest responsive and technically qualified bidder (L1)
A158,T158,V032,11566322,2023-09-29,Lowest responsive and technically qualified bidder (L1)
A159,T159,V008,115578403,2023-09-30,Lowest responsive and technically qualified bidder (L1)
A160,T160,V040,102193229,2023-10-09,Lowest responsive and technically qualified bidder (L1)
A161,T161,V035,78228815,2023-10-06,Lowest responsive and technically qualified bidder (L1)
A162,T162,V001,101991698,2023-09-22,Lowest responsive and technically qualified bidder (L1)
A163,T163,V002,152413279,2023-10-01,Lowest responsive and technically qualified bidder (L1)
A164,T164,V002,25233555,2023-09-26,Lowest responsive and technically qualified bidder (L1)
A165,T165,V050,145902114,2023-09-30,Lowest responsive and technically qualified bidder (L1)
A166,T166,V031,56552327,2023-10-02,Lowest responsive and technically qualified bidder (L1)
A167,T167,V046,51912653,2023-10-07,Lowest responsive and technically qualified bidder (L1)
A168,T168,V047,106683905,2023-10-11,Lowest responsive and technically qualified bidder (L1)
A169,T169,V007,158580085,2023-10-07,Lowest responsive and technically qualified bidder (L1)
A170,T170,V038,126992794,2023-10-15,Lowest responsive and technically qualified bidder (L1)
A171,T171,V011,86949460,2023-10-22,Lowest responsive and technically qualified bidder (L1)
A172,T172,V043,95723029,2023-10-20,Lowest responsive and technically qualified bidder (L1)
A173,T173,V026,69908273,2023-10-15,Lowest responsive and technically qualified bidder (L1)
A174,T174,V038,153386113,2023-10-16,Lowest responsive and technically qualified bidder (L1)
A175,T175,V031,40395262,2023-10-20,Lowest responsive and technically qualified bidder (L1)
A176,T176,V003,115791526,2023-10-15,Lowest responsive and technically qualified bidder (L1)
A177,T177,V043,102708852,2023-10-09,Lowest responsive and technically qualified bidder (L1)
A178,T178,V047,89787819,2023-10-23,Lowest responsive and technically qualified bidder (L1)
A179,T179,V038,154898915,2023-10-21,Lowest responsive and technically qualified bidder (L1)
A180,T180,V001,115985682,2023-10-25,Lowest responsive and technically qualified bidder (L1)
A181,T181,V030,77084393,2023-10-25,Lowest responsive and technically qualified bidder (L1)
A182,T182,V011,40175802,2023-10-23,Lowest responsive and technically qualified bidder (L1)
A183,T183,V005,152392932,2023-10-22,Lowest responsive and technically qualified bidder (L1)
A184,T184,V039,17753449,2023-10-27,Lowest responsive and technically qualified bidder (L1)
A185,T185,V043,132266485,2023-11-04,Lowest responsive and technically qualified bidder (L1)
A186,T186,V022,169080587,2023-11-10,Lowest responsive and technically qualified bidder (L1)
A187,T187,V004,84578231,2023-10-29,Lowest responsive and technically qualified bidder (L1)
A188,T188,V004,142133381,2023-11-02,Lowest responsive and technically qualified bidder (L1)
A189,T189,V031,150261458,2023-11-09,Lowest responsive and technically qualified bidder (L1)
A190,T190,V014,134783167,2023-10-30,Lowest responsive and technically qualified bidder (L1)
A191,T191,V022,69943405,2023-11-02,Lowest responsive and technically qualified bidder (L1)
A192,T192,V015,158074063,2023-11-08,Lowest responsive and technically qualified bidder (L1)
A193,T193,V016,22519053,2023-11-10,Lowest responsive and technically qualified bidder (L1)
A194,T194,V046,71538124,2023-11-05,Lowest responsive and technically qualified bidder (L1)
A195,T195,V028,6461073,2023-11-14,Lowest responsive and technically qualified bidder (L1)
A196,T196,V004,73620773,2023-11-13,Lowest responsive and technically qualified bidder (L1)
A197,T197,V047,118587218,2023-11-18,Lowest responsive and technically qualified bidder (L1)
A198,T198,V001,49551904,2023-11-08,Lowest responsive and technically qualified bidder (L1)
A199,T199,V047,27158614,2023-11-16,Lowest responsive and technically qualified bidder (L1)
A200,T200,V010,91172574,2023-11-24,Lowest responsive and technically qualified bidder (L1)
A201,T201,V029,126605329,2023-11-19,Lowest responsive and technically qualified bidder (L1)
A202,T202,V004,60038983,2023-11-11,Lowest responsive and technically qualified bidder (L1)
A203,T203,V003,106483278,2023-11-22,Lowest responsive and technically qualified bidder (L1)
A204,T204,V039,125557902,2023-11-29,Lowest responsive and technically qualified bidder (L1)
A205,T205,V022,58124762,2023-11-30,Lowest responsive and technically qualified bidder (L1)
A206,T206,V026,163799772,2023-11-16,Lowest responsive and technically qualified bidder (L1)
A207,T207,V010,8826715,2023-12-06,Lowest responsive and technically qualified bidder (L1)
A208,T208,V008,143704278,2023-11-30,Lowest responsive and technically qualified bidder (L1)
A209,T209,V039,105793286,2023-12-01,Lowest responsive and technically qualified bidder (L1)
A210,T210,V028,66200843,2023-11-20,Lowest responsive and technically qualified bidder (L1)
A211,T211,V010,24575477,2023-12-03,Lowest responsive and technically qualified bidder (L1)
A212,T212,V013,89966862,2023-12-03,Lowest responsive and technically qualified bidder (L1)
A213,T213,V028,102257193,2023-12-02,Lowest responsive and technically qualified bidder (L1)
A214,T214,V004,159270784,2023-12-10,Lowest responsive and technically qualified bidder (L1)
A215,T215,V045,160080702,2023-11-26,Lowest responsive and technically qualified bidder (L1)
A216,T216,V001,111475415,2023-12-11,Lowest responsive and technically qualified bidder (L1)
A217,T217,V008,114210190,2023-12-06,Lowest responsive and technically qualified bidder (L1)
A218,T218,V045,47807573,2023-12-15,Lowest responsive and technically qualified bidder (L1)
A219,T219,V023,137024000,2023-12-08,Lowest responsive and technically qualified bidder (L1)
A220,T220,V008,130866723,2023-12-19,Lowest responsive and technically qualified bidder (L1)
A221,T221,V035,67969696,2023-12-13,Lowest responsive and technically qualified bidder (L1)
A222,T222,V048,154258098,2023-12-17,Lowest responsive and technically qualified bidder (L1)
A223,T223,V043,32527499,2023-12-14,Lowest responsive and technically qualified bidder (L1)
A224,T224,V023,5447865,2023-12-15,Lowest responsive and technically qualified bidder (L1)
A225,T225,V036,155292758,2023-12-23,Lowest responsive and technically qualified bidder (L1)
A226,T226,V019,143004189,2023-12-18,Lowest responsive and technically qualified bidder (L1)
A227,T227,V025,17505100,2023-12-21,Lowest responsive and technically qualified bidder (L1)
A228,T228,V015,140327470,2023-12-22,Lowest responsive and technically qualified bidder (L1)
A229,T229,V017,17152090,2024-01-01,Lowest responsive and technically qualified bidder (L1)
A230,T230,V046,80065967,2023-12-17,Lowest responsive and technically qualified bidder (L1)
A231,T231,V041,97367633,2024-01-03,Lowest responsive and technically qualified bidder (L1)
A232,T232,V043,62948706,2024-01-03,Lowest responsive and technically qualified bidder (L1)
A233,T233,V029,134277631,2023-12-22,Lowest responsive and technically qualified bidder (L1)
A234,T234,V001,122832215,2024-01-10,Lowest responsive and technically qualified bidder (L1)
A235,T235,V038,20369287,2024-01-05,Lowest responsive and technically qualified bidder (L1)
A236,T236,V029,103711358,2024-01-01,Lowest responsive and technically qualified bidder (L1)
A237,T237,V007,55756470,2024-01-05,Lowest responsive and technically qualified bidder (L1)
A238,T238,V031,30536031,2024-01-03,Lowest responsive and technically qualified bidder (L1)
A239,T239,V032,34841359,2023-12-30,Lowest responsive and technically qualified bidder (L1)
A240,T240,V040,6543930,2024-01-15,Lowest responsive and technically qualified bidder (L1)
A241,T241,V050,63503350,2024-01-15,Lowest responsive and technically qualified bidder (L1)
A242,T242,V048,16881007,2024-01-20,Lowest responsive and technically qualified bidder (L1)
A243,T243,V022,106022829,2024-01-09,Lowest responsive and technically qualified bidder (L1)
A244,T244,V019,73327678,2024-01-13,Lowest responsive and technically qualified bidder (L1)
A245,T245,V023,30036020,2024-01-14,Lowest responsive and technically qualified bidder (L1)
A246,T246,V001,78280468,2024-01-25,Lowest responsive and technically qualified bidder (L1)
A247,T247,V017,25421607,2024-01-20,Lowest responsive and technically qualified bidder (L1)
A248,T248,V044,14760851,2024-01-15,Lowest responsive and technically qualified bidder (L1)
A249,T249,V042,131248717,2024-01-22,Lowest responsive and technically qualified bidder (L1)
A250,T250,V046,157674806,2024-01-16,Lowest responsive and technically qualified bidder (L1)
A251,T251,V048,43627615,2024-01-27,Lowest responsive and technically qualified bidder (L1)
A252,T252,V001,132981800,2024-01-27,Lowest responsive and technically qualified bidder (L1)
A253,T253,V039,78062911,2024-01-21,Lowest responsive and technically qualified bidder (L1)
A254,T254,V019,70740732,2024-01-22,Lowest responsive and technically qualified bidder (L1)
A255,T255,V042,159364607,2024-02-01,Lowest responsive and technically qualified bidder (L1)
A256,T256,V005,66582296,2024-01-27,Lowest responsive and technically qualified bidder (L1)
A257,T257,V021,72916276,2024-02-02,Lowest responsive and technically qualified bidder (L1)
A258,T258,V046,90158343,2024-02-12,Lowest responsive and technically qualified bidder (L1)
A259,T259,V021,103657333,2024-02-07,Lowest responsive and technically qualified bidder (L1)
A260,T260,V033,122953760,2024-02-05,Lowest responsive and technically qualified bidder (L1)
A261,T261,V050,115786415,2024-02-11,Lowest responsive and technically qualified bidder (L1)
A262,T262,V039,46564259,2024-02-08,Lowest responsive and technically qualified bidder (L1)
A263,T263,V001,74100324,2024-02-10,Lowest responsive and technically qualified bidder (L1)
A264,T264,V025,10234120,2024-02-14,Lowest responsive and technically qualified bidder (L1)
A265,T265,V001,165252367,2024-02-04,Lowest responsive and technically qualified bidder (L1)
A266,T266,V023,62360519,2024-02-10,Lowest responsive and technically qualified bidder (L1)
A267,T267,V034,157703122,2024-02-15,Lowest responsive and technically qualified bidder (L1)
A268,T268,V022,156198961,2024-02-14,Lowest responsive and technically qualified bidder (L1)
A269,T269,V026,157002800,2024-02-08,Lowest responsive and technically qualified bidder (L1)
A270,T270,V001,47706695,2024-02-23,Lowest responsive and technically qualified bidder (L1)
A271,T271,V010,29313761,2024-02-24,Lowest responsive and technically qualified bidder (L1)
A272,T272,V004,81450459,2024-02-18,Lowest responsive and technically qualified bidder (L1)
A273,T273,V027,151198460,2024-02-13,Lowest responsive and technically qualified bidder (L1)
A274,T274,V003,43368318,2024-02-26,Lowest responsive and technically qualified bidder (L1)
A275,T275,V048,16351611,2024-02-26,Lowest responsive and technically qualified bidder (L1)
A276,T276,V013,141014290,2024-03-02,Lowest responsive and technically qualified bidder (L1)
A277,T277,V039,20200013,2024-02-26,Lowest responsive and technically qualified bidder (L1)
A278,T278,V016,166273674,2024-02-21,Lowest responsive and technically qualified bidder (L1)
A279,T279,V013,167742791,2024-02-23,Lowest responsive and technically qualified bidder (L1)
A280,T280,V035,119393007,2024-03-01,Lowest responsive and technically qualified bidder (L1)
A281,T281,V019,37330205,2024-03-03,Lowest responsive and technically qualified bidder (L1)
A282,T282,V036,85074893,2024-03-09,Lowest responsive and technically qualified bidder (L1)
A283,T283,V046,152112121,2024-02-23,Lowest responsive and technically qualified bidder (L1)
A284,T284,V005,111604142,2024-03-06,Lowest responsive and technically qualified bidder (L1)
A285,T285,V026,41133048,2024-03-10,Lowest responsive and technically qualified bidder (L1)
A286,T286,V045,109849684,2024-03-09,Lowest responsive and technically qualified bidder (L1)
A287,T287,V031,113750439,2024-03-12,Lowest responsive and technically qualified bidder (L1)
A288,T288,V001,53935750,2024-02-29,Lowest responsive and technically qualified bidder (L1)
A289,T289,V034,149062232,2024-03-13,Lowest responsive and technically qualified bidder (L1)
A290,T290,V024,52965769,2024-03-14,Lowest responsive and technically qualified bidder (L1)
A291,T291,V025,66636711,2024-03-12,Lowest responsive and technically qualified bidder (L1)
A292,T292,V030,166817262,2024-03-24,Lowest responsive and technically qualified bidder (L1)
A293,T293,V019,62836140,2024-03-16,Lowest responsive and technically qualified bidder (L1)
A294,T294,V026,28436931,2024-03-17,Lowest responsive and technically qualified bidder (L1)
A295,T295,V003,78277126,2024-03-26,Lowest responsive and technically qualified bidder (L1)
A296,T296,V044,83618073,2024-03-28,Lowest responsive and technically qualified bidder (L1)
A297,T297,V046,13622093,2024-03-19,Lowest responsive and technically qualified bidder (L1)
A298,T298,V009,6226241,2024-03-18,Lowest responsive and technically qualified bidder (L1)
A299,T299,V020,13303072,2024-03-24,Lowest responsive and technically qualified bidder (L1)
A300,T300,V026,147505573,2024-03-25,Lowest responsive and technically qualified bidder (L1)
A301,T301,V002,111230561,2024-03-24,Lowest responsive and technically qualified bidder (L1)
A302,T302,V028,40283026,2024-04-08,Lowest responsive and technically qualified bidder (L1)
A303,T303,V024,114688737,2024-04-02,Lowest responsive and technically qualified bidder (L1)
A304,T304,V008,140281900,2024-03-31,Lowest responsive and technically qualified bidder (L1)
A305,T305,V020,12032611,2024-03-30,Lowest responsive and technically qualified bidder (L1)
A306,T306,V001,71270838,2024-03-26,Lowest responsive and technically qualified bidder (L1)
A307,T307,V003,148404333,2024-04-04,Lowest responsive and technically qualified bidder (L1)
A308,T308,V020,71464040,2024-04-09,Lowest responsive and technically qualified bidder (L1)
A309,T309,V016,94152183,2024-04-03,Lowest responsive and technically qualified bidder (L1)
A310,T310,V043,149896803,2024-04-11,Lowest responsive and technically qualified bidder (L1)
A311,T311,V009,16089995,2024-04-09,Lowest responsive and technically qualified bidder (L1)
A312,T312,V019,13068601,2024-04-18,Lowest responsive and technically qualified bidder (L1)
A313,T313,V035,132441947,2024-04-18,Lowest responsive and technically qualified bidder (L1)
A314,T314,V031,48025151,2024-04-14,Lowest responsive and technically qualified bidder (L1)
A315,T315,V039,94751517,2024-04-12,Lowest responsive and technically qualified bidder (L1)
A316,T316,V038,31296734,2024-04-11,Lowest responsive and technically qualified bidder (L1)
A317,T317,V017,78202839,2024-04-20,Lowest responsive and technically qualified bidder (L1)
A318,T318,V032,53263279,2024-04-27,Lowest responsive and technically qualified bidder (L1)
A319,T319,V017,55718982,2024-04-19,Lowest responsive and technically qualified bidder (L1)
A320,T320,V007,146127725,2024-04-23,Lowest responsive and technically qualified bidder (L1)
A321,T321,V003,27879845,2024-04-26,Lowest responsive and technically qualified bidder (L1)
A322,T322,V029,114033715,2024-04-22,Lowest responsive and technically qualified bidder (L1)
A323,T323,V049,155500744,2024-04-25,Lowest responsive and technically qualified bidder (L1)
A324,T324,V001,88704294,2024-04-24,Lowest responsive and technically qualified bidder (L1)
A325,T325,V040,95936378,2024-04-28,Lowest responsive and technically qualified bidder (L1)
A326,T326,V019,138543461,2024-04-25,Lowest responsive and technically qualified bidder (L1)
A327,T327,V041,88294717,2024-05-01,Lowest responsive and technically qualified bidder (L1)
A328,T328,V049,59039764,2024-04-29,Lowest responsive and technically qualified bidder (L1)
A329,T329,V026,71366757,2024-05-12,Lowest responsive and technically qualified bidder (L1)
A330,T330,V003,131166254,2024-05-06,Lowest responsive and technically qualified bidder (L1)
A331,T331,V016,119743564,2024-05-09,Lowest responsive and technically qualified bidder (L1)
A332,T332,V025,141890751,2024-05-16,Lowest responsive and technically qualified bidder (L1)
A333,T333,V019,160006170,2024-05-12,Lowest responsive and technically qualified bidder (L1)
A334,T334,V033,78572379,2024-05-11,Lowest responsive and technically qualified bidder (L1)
A335,T335,V029,59382316,2024-05-10,Lowest responsive and technically qualified bidder (L1)
A336,T336,V009,160030509,2024-05-03,Lowest responsive and technically qualified bidder (L1)
A337,T337,V041,134249743,2024-05-02,Lowest responsive and technically qualified bidder (L1)
A338,T338,V006,95708188,2024-05-11,Lowest responsive and technically qualified bidder (L1)
A339,T339,V023,66040880,2024-05-18,Lowest responsive and technically qualified bidder (L1)
