contract_id,tender_id,vendor_id,contract_value_inr,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,completion_status
C040,T040,V017,17723017,2023-05-09,2024-10-30,2025-02-16,540,649,DELAYED
C041,T041,V042,13536665,2023-05-14,2024-11-04,2024-11-04,540,540,COMPLETED
C042,T042,V026,44449397,2023-05-16,2024-05-15,2024-05-15,365,365,COMPLETED
C043,T043,V024,149704982,2023-05-06,2024-01-01,2024-04-28,240,358,DELAYED
C044,T044,V031,128308413,2023-05-17,2024-11-07,2024-11-07,540,540,COMPLETED
C045,T045,V040,117733340,2023-05-17,2024-11-07,2024-11-07,540,540,COMPLETED
C046,T046,V019,48889257,2023-05-21,2024-11-11,2024-12-28,540,587,COMPLETED
C047,T047,V006,119308618,2023-05-25,2024-05-24,2024-05-24,365,365,COMPLETED
C048,T048,V035,23727930,2023-05-26,2024-01-21,2024-01-21,240,240,COMPLETED
C049,T049,V015,14587783,2023-05-18,2023-08-16,2023-08-16,90,90,COMPLETED
C050,T050,V021,11315875,2023-05-22,2024-01-17,2024-05-01,240,345,DELAYED
C051,T051,V049,54732360,2023-05-24,2023-11-20,2023-11-20,180,180,COMPLETED
C052,T052,V032,40988727,2023-05-20,2023-11-16,2024-01-04,180,229,COMPLETED
C053,T053,V037,153514375,2023-05-25,2023-08-23,2023-10-10,90,138,COMPLETED
C054,T054,V001,77597319,2023-05-25,2024-11-15,2024-11-15,540,540,COMPLETED
C055,T055,V006,9760702,2023-05-20,2024-01-15,2024-01-15,240,240,COMPLETED
C056,T056,V014,32764549,2023-06-03,2024-11-24,2024-11-24,540,540,COMPLETED
C057,T057,V007,162092886,2023-06-07,2024-06-06,2024-06-06,365,365,COMPLETED
C058,T058,V016,14584031,2023-06-02,2023-08-31,2023-08-31,90,90,COMPLETED
C059,T059,V044,102750686,2023-06-04,2024-11-25,2024-11-25,540,540,COMPLETED
C060,T060,V023,9672489,2023-06-11,2023-12-08,2024-03-30,180,293,DELAYED
C061,T061,V023,10938438,2023-06-01,2023-08-30,2023-12-24,90,206,DELAYED
C062,T062,V048,40307759,2023-06-12,2023-09-10,2023-09-10,90,90,COMPLETED
C063,T063,V028,28659852,2023-06-10,2023-12-07,2023-12-07,180,180,COMPLETED
C064,T064,V027,164741700,2023-06-06,2023-12-03,2023-12-03,180,180,COMPLETED
C065,T065,V027,143586927,2023-06-01,2023-08-30,2023-08-30,90,90,COMPLETED
C066,T066,V032,110430016,2023-06-07,2024-11-28,2024-11-28,540,540,COMPLETED
C067,T067,V030,98583557,2023-06-04,2024-11-25,2024-11-25,540,540,COMPLETED
C068,T068,V015,28291158,2023-06-12,2023-09-10,2023-09-10,90,90,COMPLETED
C069,T069,V006,133686281,2023-06-18,2024-02-13,2024-02-13,240,240,COMPLETED
C070,T070,V050,32375070,2023-06-16,2023-09-14,2023-09-14,90,90,COMPLETED
C071,T071,V040,123609493,2023-06-10,2023-12-07,2024-03-30,180,294,DELAYED
C072,T072,V001,131803676,2023-06-25,2024-06-24,2024-06-24,365,365,COMPLETED
C073,T073,V020,80208016,2023-06-20,2024-12-11,2024-12-11,540,540,COMPLETED
C074,T074,V011,123799137,2023-07-01,2024-06-30,2024-06-30,365,365,COMPLETED
C075,T075,V017,162349359,2023-06-26,2024-02-21,2024-02-21,240,240,COMPLETED
C076,T076,V025,34462861,2023-06-18,2023-12-15,2024-02-21,180,248,DELAYED
C077,T077,V048,69368664,2023-06-29,2023-12-26,2023-12-26,180,180,COMPLETED
C078,T078,V018,8090013,2023-07-07,2024-01-03,2024-01-03,180,180,COMPLETED
C079,T079,V017,77662177,2023-07-02,2024-07-01,2024-07-01,365,365,COMPLETED
C080,T080,V034,27204903,2023-07-06,2024-01-02,2024-01-02,180,180,COMPLETED
C081,T081,V041,4238826,2023-06-26,2024-02-21,2024-02-21,240,240,COMPLETED
C082,T082,V019,27460418,2023-07-04,2023-10-02,2023-10-02,90,90,COMPLETED
C083,T083,V008,88990512,2023-06-28,2024-02-23,2024-02-23,240,240,COMPLETED
C084,T084,V004,42271289,2023-07-13,2023-10-11,2023-10-11,90,90,COMPLETED
C085,T085,V047,138467697,2023-06-30,2024-06-29,2024-06-29,365,365,COMPLETED
C086,T086,V018,29633518,2023-07-13,2024-07-12,2024-07-12,365,365,COMPLETED
C087,T087,V042,52723832,2023-07-14,2023-10-12,2023-10-12,90,90,COMPLETED
C088,T088,V015,130286019,2023-07-07,2024-12-28,2024-12-28,540,540,COMPLETED
C089,T089,V030,132454935,2023-07-17,2024-01-13,2024-01-13,180,180,COMPLETED
C090,T090,V036,34652833,2023-07-13,2024-01-09,2024-01-09,180,180,COMPLETED
C091,T091,V012,55508075,2023-07-21,2025-01-11,2025-01-11,540,540,COMPLETED
C092,T092,V020,66009659,2023-07-20,2024-01-16,2024-04-20,180,275,DELAYED
C093,T093,V032,43083140,2023-07-12,2024-07-11,2024-10-31,365,477,DELAYED
C094,T094,V008,41019435,2023-07-08,2024-07-07,2024-07-07,365,365,COMPLETED
C095,T095,V034,89028923,2023-07-25,2024-07-24,2024-07-24,365,365,COMPLETED
C096,T096,V014,133638821,2023-07-13,2023-10-11,2023-10-11,90,90,COMPLETED
C097,T097,V032,104038693,2023-07-29,2025-01-19,2025-03-26,540,606,DELAYED
C098,T098,V017,72648358,2023-07-22,2025-01-12,2025-01-12,540,540,COMPLETED
C099,T099,V022,89274552,2023-07-24,2023-10-22,2023-10-22,90,90,COMPLETED
C100,T100,V038,29102643,2023-07-30,2025-01-20,2025-04-20,540,630,DELAYED
C101,T101,V037,48738414,2023-07-28,2024-03-24,2024-03-24,240,240,COMPLETED
C102,T102,V044,8480486,2023-07-25,2025-01-15,2025-01-15,540,540,COMPLETED
C103,T103,V031,9059747,2023-07-26,2023-10-24,2023-10-24,90,90,COMPLETED
C104,T104,V024,160165163,2023-08-05,2024-02-01,2024-05-23,180,292,DELAYED
C105,T105,V042,57181545,2023-07-26,2025-01-16,2025-03-19,540,602,DELAYED
C106,T106,V048,33763373,2023-08-10,2024-08-09,2024-08-09,365,365,COMPLETED
C107,T107,V004,24769443,2023-07-29,2024-03-25,2024-03-25,240,240,COMPLETED
C108,T108,V001,132246994,2023-08-01,2024-07-31,2024-07-31,365,365,COMPLETED
C109,T109,V027,97992643,2023-07-28,2024-01-24,2024-01-24,180,180,COMPLETED
C110,T110,V042,22558975,2023-08-12,2024-04-08,2024-04-08,240,240,COMPLETED
C111,T111,V009,8357216,2023-08-15,2024-08-14,2024-08-14,365,365,COMPLETED
C112,T112,V009,152455647,2023-08-10,2024-08-09,2024-10-22,365,439,DELAYED
C113,T113,V048,38331752,2023-08-08,2024-02-04,2024-02-04,180,180,COMPLETED
C114,T114,V025,51150372,2023-08-22,2023-11-20,2023-11-20,90,90,COMPLETED
C115,T115,V009,126387439,2023-08-12,2023-11-10,2024-02-26,90,198,DELAYED
C116,T116,V009,150863998,2023-08-16,2023-11-14,2024-01-14,90,151,DELAYED
C117,T117,V028,141862038,2023-08-14,2024-08-13,2024-08-13,365,365,COMPLETED
C118,T118,V013,38154947,2023-08-18,2024-08-17,2024-08-17,365,365,COMPLETED
C119,T119,V036,142548985,2023-08-13,2024-08-12,2024-08-12,365,365,COMPLETED
C120,T120,V044,18824633,2023-08-28,2023-11-26,2023-11-26,90,90,COMPLETED
C121,T121,V026,79961386,2023-08-23,2023-11-21,2023-11-21,90,90,COMPLETED
C122,T122,V024,11284012,2023-08-21,2024-04-17,2024-04-17,240,240,COMPLETED
C123,T123,V014,68563709,2023-08-14,2025-02-04,2025-05-05,540,630,DELAYED
C124,T124,V033,123254379,2023-08-29,2025-02-19,2025-02-19,540,540,COMPLETED
C125,T125,V038,54879340,2023-08-29,2024-08-28,2024-08-28,365,365,COMPLETED
C126,T126,V001,36831171,2023-09-07,2025-02-28,2025-05-29,540,630,DELAYED
C127,T127,V009,15979418,2023-08-30,2023-11-28,2023-11-28,90,90,COMPLETED
C128,T128,V025,161304168,2023-08-25,2024-08-24,2024-08-24,365,365,COMPLETED
C129,T129,V006,49550342,2023-08-23,2025-02-13,2025-05-09,540,625,DELAYED
C130,T130,V048,14301722,2023-09-07,2023-12-06,2023-12-06,90,90,COMPLETED
C131,T131,V023,110997448,2023-09-03,2024-09-02,2024-09-02,365,365,COMPLETED
C132,T132,V042,50741266,2023-09-01,2023-11-30,2024-02-21,90,173,DELAYED
C133,T133,V011,143750370,2023-08-27,2025-02-17,2025-02-17,540,540,COMPLETED
C134,T134,V016,113095385,2023-09-11,2023-12-10,2024-03-01,90,172,DELAYED
C135,T135,V015,145626180,2023-09-14,2024-09-13,2024-09-13,365,365,COMPLETED
C136,T136,V005,120556545,2023-09-12,2024-05-09,2024-05-09,240,240,COMPLETED
C137,T137,V007,48685094,2023-09-14,2024-03-12,2024-05-26,180,255,DELAYED
C138,T138,V021,45353979,2023-09-15,2024-03-13,2024-03-13,180,180,COMPLETED
C139,T139,V020,111453852,2023-09-15,2024-03-13,2024-03-13,180,180,COMPLETED
C140,T140,V049,5043632,2023-09-20,2024-09-19,2024-09-19,365,365,COMPLETED
C141,T141,V048,50406572,2023-09-20,2024-03-18,2024-03-18,180,180,COMPLETED
C142,T142,V039,34195448,2023-09-19,2023-12-18,2024-01-29,90,132,COMPLETED
C143,T143,V025,124512509,2023-09-19,2023-12-18,2023-12-18,90,90,COMPLETED
C144,T144,V001,115171155,2023-09-19,2024-09-18,2024-09-18,365,365,COMPLETED
C145,T145,V008,11541046,2023-09-18,2024-03-16,2024-03-16,180,180,COMPLETED
C146,T146,V007,85599557,2023-09-20,2024-09-19,2024-09-19,365,365,COMPLETED
C147,T147,V044,168871957,2023-10-03,2024-01-01,2024-01-01,90,90,COMPLETED
C148,T148,V050,25859395,2023-09-22,2025-03-15,2025-03-15,540,540,COMPLETED
C149,T149,V007,165013965,2023-09-25,2023-12-24,2023-12-24,90,90,COMPLETED
C150,T150,V026,8762492,2023-10-10,2024-10-09,2024-11-26,365,413,COMPLETED
C151,T151,V021,67909203,2023-09-28,2024-09-27,2024-11-18,365,417,COMPLETED
C152,T152,V032,125106979,2023-09-29,2025-03-22,2025-03-22,540,540,COMPLETED
C153,T153,V050,146692854,2023-09-25,2023-12-24,2023-12-24,90,90,COMPLETED
C154,T154,V026,145030769,2023-10-06,2024-04-03,2024-04-03,180,180,COMPLETED
C155,T155,V030,147739604,2023-09-23,2025-03-16,2025-03-16,540,540,COMPLETED
C156,T156,V014,24372022,2023-09-28,2023-12-27,2023-12-27,90,90,COMPLETED
C157,T157,V018,126092741,2023-10-12,2024-01-10,2024-01-10,90,90,COMPLETED
C158,T158,V032,11566322,2023-10-13,2024-04-10,2024-06-25,180,256,DELAYED
C159,T159,V008,115578403,2023-10-14,2024-06-10,2024-09-28,240,350,DELAYED
C160,T160,V040,102193229,2023-10-23,2024-06-19,2024-06-19,240,240,COMPLETED
C161,T161,V035,78228815,2023-10-20,2024-04-17,2024-04-17,180,180,COMPLETED
C162,T162,V001,101991698,2023-10-06,2024-04-03,2024-06-13,180,251,DELAYED
C163,T163,V002,152413279,2023-10-15,2024-01-13,2024-03-01,90,138,COMPLETED
C164,T164,V002,25233555,2023-10-10,2024-06-06,2024-06-06,240,240,COMPLETED
C165,T165,V050,145902114,2023-10-14,2024-04-11,2024-04-11,180,180,COMPLETED
C166,T166,V031,56552327,2023-10-16,2024-04-13,2024-05-15,180,212,COMPLETED
C167,T167,V046,51912653,2023-10-21,2024-04-18,2024-07-11,180,264,DELAYED
C168,T168,V047,106683905,2023-10-25,2024-10-24,2025-01-18,365,451,DELAYED
C169,T169,V007,158580085,2023-10-21,2025-04-13,2025-04-13,540,540,COMPLETED
C170,T170,V038,126992794,2023-10-29,2024-01-27,2024-01-27,90,90,COMPLETED
C171,T171,V011,86949460,2023-11-05,2024-11-04,2024-11-04,365,365,COMPLETED
C172,T172,V043,95723029,2023-11-03,2024-06-30,2024-06-30,240,240,COMPLETED
C173,T173,V026,69908273,2023-10-29,2024-04-26,2024-04-26,180,180,COMPLETED
C174,T174,V038,153386113,2023-10-30,2024-06-26,2024-06-26,240,240,COMPLETED
C175,T175,V031,40395262,2023-11-03,2024-05-01,2024-05-01,180,180,COMPLETED
C176,T176,V003,115791526,2023-10-29,2025-04-21,2025-04-21,540,540,COMPLETED
C177,T177,V043,102708852,2023-10-23,2024-04-20,2024-07-12,180,263,DELAYED
C178,T178,V047,89787819,2023-11-06,2024-02-04,2024-02-04,90,90,COMPLETED
C179,T179,V038,154898915,2023-11-04,2024-07-01,2024-07-01,240,240,COMPLETED
C180,T180,V001,115985682,2023-11-08,2024-05-06,2024-07-23,180,258,DELAYED
C181,T181,V030,77084393,2023-11-08,2024-11-07,2025-01-22,365,441,DELAYED
C182,T182,V011,40175802,2023-11-06,2025-04-29,2025-07-20,540,622,DELAYED
C183,T183,V005,152392932,2023-11-05,2024-11-04,2024-11-04,365,365,COMPLETED
C184,T184,V039,17753449,2023-11-10,2024-11-09,2025-02-13,365,461,DELAYED
C185,T185,V043,132266485,2023-11-18,2024-11-17,2024-11-17,365,365,COMPLETED
C186,T186,V022,169080587,2023-11-24,2024-05-22,2024-05-22,180,180,COMPLETED
C187,T187,V004,84578231,2023-11-12,2025-05-05,2025-08-26,540,653,DELAYED
C188,T188,V004,142133381,2023-11-16,2024-11-15,2024-11-15,365,365,COMPLETED
C189,T189,V031,150261458,2023-11-23,2024-02-21,2024-02-21,90,90,COMPLETED
C190,T190,V014,134783167,2023-11-13,2024-05-11,2024-05-11,180,180,COMPLETED
C191,T191,V022,69943405,2023-11-16,2024-02-14,2024-02-14,90,90,COMPLETED
C192,T192,V015,158074063,2023-11-22,2024-07-19,2024-07-19,240,240,COMPLETED
C193,T193,V016,22519053,2023-11-24,2024-11-23,2024-11-23,365,365,COMPLETED
C194,T194,V046,71538124,2023-11-19,2024-11-18,2025-01-06,365,414,COMPLETED
C195,T195,V028,6461073,2023-11-28,2024-07-25,2024-09-07,240,284,COMPLETED
C196,T196,V004,73620773,2023-11-27,2024-02-25,2024-02-25,90,90,COMPLETED
C197,T197,V047,118587218,2023-12-02,2024-12-01,2024-12-01,365,365,COMPLETED
C198,T198,V001,49551904,2023-11-22,2024-02-20,2024-02-20,90,90,COMPLETED
C199,T199,V047,27158614,2023-11-30,2024-05-28,2024-05-28,180,180,COMPLETED
C200,T200,V010,91172574,2023-12-08,2025-05-31,2025-05-31,540,540,COMPLETED
C201,T201,V029,126605329,2023-12-03,2024-05-31,2024-05-31,180,180,COMPLETED
C202,T202,V004,60038983,2023-11-25,2024-11-24,2024-11-24,365,365,COMPLETED
C203,T203,V003,106483278,2023-12-06,2024-06-03,2024-06-03,180,180,COMPLETED
C204,T204,V039,125557902,2023-12-13,2024-08-09,2024-08-09,240,240,COMPLETED
C205,T205,V022,58124762,2023-12-14,2025-06-06,2025-06-06,540,540,COMPLETED
C206,T206,V026,163799772,2023-11-30,2024-02-28,2024-02-28,90,90,COMPLETED
C207,T207,V010,8826715,2023-12-20,2024-06-17,2024-06-17,180,180,COMPLETED
C208,T208,V008,143704278,2023-12-14,2024-12-13,2024-12-13,365,365,COMPLETED
C209,T209,V039,105793286,2023-12-15,2024-12-14,2024-12-14,365,365,COMPLETED
C210,T210,V028,66200843,2023-12-04,2024-07-31,2024-07-31,240,240,COMPLETED
C211,T211,V010,24575477,2023-12-17,2025-06-09,2025-06-09,540,540,COMPLETED
C212,T212,V013,89966862,2023-12-17,2024-08-13,2024-08-13,240,240,COMPLETED
C213,T213,V028,102257193,2023-12-16,2024-06-13,2024-06-13,180,180,COMPLETED
C214,T214,V004,159270784,2023-12-24,2024-06-21,2024-06-21,180,180,COMPLETED
C215,T215,V045,160080702,2023-12-10,2024-06-07,2024-09-19,180,284,DELAYED
C216,T216,V001,111475415,2023-12-25,2024-12-24,2024-12-24,365,365,COMPLETED
C217,T217,V008,114210190,2023-12-20,2024-12-19,2024-12-19,365,365,COMPLETED
C218,T218,V045,47807573,2023-12-29,2024-08-25,2024-09-26,240,272,COMPLETED
C219,T219,V023,137024000,2023-12-22,2024-08-18,2024-08-18,240,240,COMPLETED
C220,T220,V008,130866723,2024-01-02,2025-01-01,2025-01-01,365,365,COMPLETED
C221,T221,V035,67969696,2023-12-27,2024-03-26,2024-03-26,90,90,COMPLETED
C222,T222,V048,154258098,2023-12-31,2024-03-30,2024-03-30,90,90,COMPLETED
C223,T223,V043,32527499,2023-12-28,2025-06-20,2025-06-20,540,540,COMPLETED
C224,T224,V023,5447865,2023-12-29,2025-06-21,2025-07-30,540,579,COMPLETED
C225,T225,V036,155292758,2024-01-06,2025-01-05,2025-01-05,365,365,COMPLETED
C226,T226,V019,143004189,2024-01-01,2024-08-28,2024-08-28,240,240,COMPLETED
C227,T227,V025,17505100,2024-01-04,2024-04-03,2024-04-03,90,90,COMPLETED
C228,T228,V015,140327470,2024-01-05,2025-06-28,2025-06-28,540,540,COMPLETED
C229,T229,V017,17152090,2024-01-15,2024-09-11,2024-09-11,240,240,COMPLETED
C230,T230,V046,80065967,2023-12-31,2024-08-27,2024-08-27,240,240,COMPLETED
C231,T231,V041,97367633,2024-01-17,2024-04-16,2024-07-01,90,166,DELAYED
C232,T232,V043,62948706,2024-01-17,2024-07-15,2024-07-15,180,180,COMPLETED
C233,T233,V029,134277631,2024-01-05,2025-01-04,2025-01-04,365,365,COMPLETED
C234,T234,V001,122832215,2024-01-24,2025-07-17,2025-07-17,540,540,COMPLETED
C235,T235,V038,20369287,2024-01-19,2024-04-18,2024-04-18,90,90,COMPLETED
C236,T236,V029,103711358,2024-01-15,2024-09-11,2024-09-11,240,240,COMPLETED
C237,T237,V007,55756470,2024-01-19,2024-04-18,2024-04-18,90,90,COMPLETED
C238,T238,V031,30536031,2024-01-17,2024-07-15,2024-08-15,180,211,COMPLETED
C239,T239,V032,34841359,2024-01-13,2025-01-12,2025-01-12,365,365,COMPLETED
C240,T240,V040,6543930,2024-01-29,2025-01-28,2025-01-28,365,365,COMPLETED
C241,T241,V050,63503350,2024-01-29,2024-07-27,2024-07-27,180,180,COMPLETED
C242,T242,V048,16881007,2024-02-03,2025-02-02,2025-02-02,365,365,COMPLETED
C243,T243,V022,106022829,2024-01-23,2024-09-19,2024-09-19,240,240,COMPLETED
C244,T244,V019,73327678,2024-01-27,2024-07-25,2024-07-25,180,180,COMPLETED
C245,T245,V023,30036020,2024-01-28,2024-09-24,2024-09-24,240,240,COMPLETED
C246,T246,V001,78280468,2024-02-08,2024-08-06,2024-10-02,180,237,COMPLETED
C247,T247,V017,25421607,2024-02-03,2024-09-30,2025-01-16,240,348,DELAYED
C248,T248,V044,14760851,2024-01-29,2025-01-28,2025-05-15,365,472,DELAYED
C249,T249,V042,131248717,2024-02-05,2024-05-05,2024-07-08,90,154,DELAYED
C250,T250,V046,157674806,2024-01-30,2024-09-26,2024-09-26,240,240,COMPLETED
C251,T251,V048,43627615,2024-02-10,2025-02-09,2025-02-09,365,365,COMPLETED
C252,T252,V001,132981800,2024-02-10,2025-02-09,2025-02-09,365,365,COMPLETED
C253,T253,V039,78062911,2024-02-04,2025-07-28,2025-09-27,540,601,DELAYED
C254,T254,V019,70740732,2024-02-05,2025-02-04,2025-04-21,365,441,DELAYED
C255,T255,V042,159364607,2024-02-15,2025-08-08,2025-08-08,540,540,COMPLETED
C256,T256,V005,66582296,2024-02-10,2025-08-03,2025-11-05,540,634,DELAYED
C257,T257,V021,72916276,2024-02-16,2025-08-09,2025-10-29,540,621,DELAYED
C258,T258,V046,90158343,2024-02-26,2024-05-26,2024-07-12,90,137,COMPLETED
C259,T259,V021,103657333,2024-02-21,2025-08-14,2025-08-14,540,540,COMPLETED
C260,T260,V033,122953760,2024-02-19,2025-08-12,2025-10-09,540,598,COMPLETED
C261,T261,V050,115786415,2024-02-25,2025-08-18,2025-11-04,540,618,DELAYED
C262,T262,V039,46564259,2024-02-22,2024-08-20,2024-08-20,180,180,COMPLETED
C263,T263,V001,74100324,2024-02-24,2024-08-22,2024-08-22,180,180,COMPLETED
C264,T264,V025,10234120,2024-02-28,2024-05-28,2024-05-28,90,90,COMPLETED
C265,T265,V001,165252367,2024-02-18,2024-05-18,2024-05-18,90,90,COMPLETED
C266,T266,V023,62360519,2024-02-24,2024-10-21,2024-10-21,240,240,COMPLETED
C267,T267,V034,157703122,2024-02-29,2025-02-28,2025-02-28,365,365,COMPLETED
C268,T268,V022,156198961,2024-02-28,2025-08-21,2025-08-21,540,540,COMPLETED
C269,T269,V026,157002800,2024-02-22,2024-08-20,2024-08-20,180,180,COMPLETED
C270,T270,V001,47706695,2024-03-08,2025-08-30,2025-08-30,540,540,COMPLETED
C271,T271,V010,29313761,2024-03-09,2024-09-05,2024-09-05,180,180,COMPLETED
C272,T272,V004,81450459,2024-03-03,2025-08-25,2025-08-25,540,540,COMPLETED
C273,T273,V027,151198460,2024-02-27,2024-05-27,2024-07-23,90,147,COMPLETED
C274,T274,V003,43368318,2024-03-11,2024-09-07,2024-09-07,180,180,COMPLETED
C275,T275,V048,16351611,2024-03-11,2024-11-06,2025-03-01,240,355,DELAYED
C276,T276,V013,141014290,2024-03-16,2024-11-11,2025-01-29,240,319,DELAYED
C277,T277,V039,20200013,2024-03-11,2024-09-07,2024-11-25,180,259,DELAYED
C278,T278,V016,166273674,2024-03-06,2025-03-06,2025-03-06,365,365,COMPLETED
C279,T279,V013,167742791,2024-03-08,2025-08-30,2025-08-30,540,540,COMPLETED
C280,T280,V035,119393007,2024-03-15,2025-09-06,2025-09-06,540,540,COMPLETED
C281,T281,V019,37330205,2024-03-17,2024-09-13,2025-01-07,180,296,DELAYED
C282,T282,V036,85074893,2024-03-23,2024-11-18,2024-11-18,240,240,COMPLETED
C283,T283,V046,152112121,2024-03-08,2024-06-06,2024-06-06,90,90,COMPLETED
C284,T284,V005,111604142,2024-03-20,2024-11-15,2024-11-15,240,240,COMPLETED
C285,T285,V026,41133048,2024-03-24,2024-09-20,2025-01-08,180,290,DELAYED
C286,T286,V045,109849684,2024-03-23,2024-11-18,2024-11-18,240,240,COMPLETED
C287,T287,V031,113750439,2024-03-26,2024-11-21,2024-11-21,240,240,COMPLETED
C288,T288,V001,53935750,2024-03-14,2025-03-14,2025-03-14,365,365,COMPLETED
C289,T289,V034,149062232,2024-03-27,2024-09-23,2024-09-23,180,180,COMPLETED
C290,T290,V024,52965769,2024-03-28,2024-06-26,2024-10-14,90,200,DELAYED
C291,T291,V025,66636711,2024-03-26,2024-09-22,2024-09-22,180,180,COMPLETED
C292,T292,V030,166817262,2024-04-07,2024-07-06,2024-07-06,90,90,COMPLETED
C293,T293,V019,62836140,2024-03-30,2025-03-30,2025-03-30,365,365,COMPLETED
C294,T294,V026,28436931,2024-03-31,2024-11-26,2024-11-26,240,240,COMPLETED
C295,T295,V003,78277126,2024-04-09,2025-10-01,2025-10-01,540,540,COMPLETED
C296,T296,V044,83618073,2024-04-11,2024-07-10,2024-09-27,90,169,DELAYED
C297,T297,V046,13622093,2024-04-02,2025-09-24,2025-12-01,540,608,DELAYED
C298,T298,V009,6226241,2024-04-01,2024-11-27,2025-01-06,240,280,COMPLETED
C299,T299,V020,13303072,2024-04-07,2024-12-03,2024-12-03,240,240,COMPLETED
C300,T300,V026,147505573,2024-04-08,2024-10-05,2024-10-05,180,180,COMPLETED
C301,T301,V002,111230561,2024-04-07,2024-12-03,2024-12-03,240,240,COMPLETED
C302,T302,V028,40283026,2024-04-22,2024-12-18,2024-12-18,240,240,COMPLETED
C303,T303,V024,114688737,2024-04-16,2024-12-12,2024-12-12,240,240,COMPLETED
C304,T304,V008,140281900,2024-04-14,2024-10-11,2024-10-11,180,180,COMPLETED
C305,T305,V020,12032611,2024-04-13,2024-07-12,2024-08-23,90,132,COMPLETED
C306,T306,V001,71270838,2024-04-09,2024-12-05,2025-01-21,240,287,COMPLETED
C307,T307,V003,148404333,2024-04-18,2024-12-14,2024-12-14,240,240,COMPLETED
C308,T308,V020,71464040,2024-04-23,2025-04-23,2025-04-23,365,365,COMPLETED
C309,T309,V016,94152183,2024-04-17,2025-04-17,2025-04-17,365,365,COMPLETED
